rxn,r1_radius,r2_radius,alpha_angle,psi_1_dihedral,psi_2_dihedral,A_forward,A_unit_forward,n_forward,Ea_forward,Ea_unit_forward,T0_forward,T0_unit_forward,Tmin_forward,Tmin_unit_forward,Tmax_forward,Tmax_unit_forward,dA_forward,dn_forward,dEa_forward,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol,A_reverse,A_unit_reverse,n_reverse,Ea_reverse,Ea_unit_reverse,T0_reverse,T0_unit_reverse,Tmin_reverse,Tmin_unit_reverse,Tmax_reverse,Tmax_unit_reverse,dA_reverse,dn_reverse,dEa_reverse,group
rxn_1501,1.324807140421744,1.3682145538924415,175.04995172627684,53.71036268032928,238.16608458335816,9.06699e-07,cm^3/(mol*s),4.815,15.9754,kJ/mol,1.0,K,300.0,K,3000.0,K,2.04179,0.0929767,0.531708,17.51,54.29,0.0,3.82251e-05,cm^3/(mol*s),4.65134,34.8129,kJ/mol,1.0,K,300.0,K,3000.0,K,1.93193,0.0857731,0.490513,ZEUS
rmg_rxn_177,1.3102274703046948,1.383835193454675,174.54619845608696,289.77278671734507,28.134817201505463,3.89079e-05,cm^3/(mol*s),4.70163,21.7725,kJ/mol,1.0,K,300.0,K,3000.0,K,2.01462,0.0912321,0.521731,14.64,57.72,0.0,3.38581e-06,cm^3/(mol*s),4.70557,35.2699,kJ/mol,1.0,K,300.0,K,3000.0,K,2.03912,0.092806,0.530732,ATLAS
rmg_rxn_16533,1.2139183518543872,1.3837971602952015,175.3428727121109,18.41571534447589,244.24663126612356,0.000336352,cm^3/(mol*s),4.14363,2.13684,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31952,0.0361142,0.206527,51.96,73.08,0.0,0.000107526,cm^3/(mol*s),4.43799,54.6586,kJ/mol,1.0,K,300.0,K,3000.0,K,1.45407,0.0487619,0.278856,ZEUS
rxn_1069,1.3418801627484005,1.362407065205558,173.6550425325922,102.84113075542942,193.4495436281786,8.33478e-09,cm^3/(mol*s),5.63518,53.255,kJ/mol,1.0,K,300.0,K,3000.0,K,3.97839,0.179861,1.02857,0.0,80.66,16.12,2.81083e-08,cm^3/(mol*s),5.52494,37.4807,kJ/mol,1.0,K,300.0,K,3000.0,K,3.90683,0.177497,1.01505,ZEUS
rmg_rxn_208,1.2013909861130438,1.4066431979320315,173.45719234469271,323.1979460549567,260.61904188175026,0.00581685,cm^3/(mol*s),3.86894,-0.359606,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14452,0.0175823,0.100548,55.71,71.26,0.0,0.0115306,cm^3/(mol*s),4.24377,56.901,kJ/mol,1.0,K,300.0,K,3000.0,K,1.32329,0.0364857,0.208652,ATLAS
rxn_1221,1.2874743764605256,1.4274201471338008,178.66311670441735,204.5952522938493,332.89471325184417,9.48686e-05,cm^3/(mol*s),5.21712,92.8214,kJ/mol,1.0,K,300.0,K,3000.0,K,2.85444,0.136617,0.781277,0.0,117.34,68.09,1.4799e-05,cm^3/(mol*s),5.10583,24.1306,kJ/mol,1.0,K,300.0,K,3000.0,K,2.81093,0.134617,0.769835,ZEUS
rmg_rxn_15476,1.1346749090548298,1.518299378156029,156.6278187556997,290.0150661922402,4.925506141162144,0.81802,cm^3/(mol*s),3.49197,-3.91588,kJ/mol,1.0,K,300.0,K,3000.0,K,1.05523,0.00700269,0.0400465,90.86,93.16,0.0,1.46483,cm^3/(mol*s),3.53095,87.8572,kJ/mol,1.0,K,300.0,K,3000.0,K,1.04259,0.00543196,0.0310639,ZEUS
rxn_905,1.3050441597084226,1.402228943102012,177.50878663570714,0.7076185625258787,355.53974593136934,0.00485027,cm^3/(mol*s),4.91728,51.0523,kJ/mol,1.0,K,300.0,K,3000.0,K,1.93837,0.0862062,0.492989,0.0,71.24,39.49,0.00752622,cm^3/(mol*s),4.43631,11.1184,kJ/mol,1.0,K,300.0,K,3000.0,K,1.71912,0.0705717,0.40358,ZEUS
rmg_rxn_15426,1.2596160090115087,1.265122867392092,157.38412171816103,93.89340428733294,17.000292740019674,0.0840008,cm^3/(mol*s),3.48684,-3.99356,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08591,0.0107355,0.0613935,28.67,38.07,0.0,0.102855,cm^3/(mol*s),3.56444,25.9344,kJ/mol,1.0,K,300.0,K,3000.0,K,1.03513,0.00449723,0.0257184,ZEUS
rxn_425,1.3269288903898984,1.382740040405468,174.5069732718272,142.5092411844857,188.20391503311595,0.000453204,cm^3/(mol*s),4.28685,36.1416,kJ/mol,1.0,K,300.0,K,3000.0,K,1.53365,0.0557023,0.318546,0.0,51.32,23.06,0.000567124,cm^3/(mol*s),4.19572,12.5452,kJ/mol,1.0,K,300.0,K,3000.0,K,1.46573,0.0498016,0.284801,ZEUS
rxn_1921,1.3009977876437682,1.3973142492265702,177.84143242482492,302.9975714233141,236.29085100383125,0.00362385,cm^3/(mol*s),3.91583,65.8541,kJ/mol,1.0,K,300.0,K,3000.0,K,1.20751,0.0245603,0.140454,0.0,76.86,64.77,0.00251439,cm^3/(mol*s),3.98809,0.845808,kJ/mol,1.0,K,300.0,K,3000.0,K,1.21983,0.025882,0.148012,ZEUS
rxn_1594,1.2443626600924902,1.4645184371845217,173.35158223253242,149.24716314764245,352.7609242342767,1.0054,cm^3/(mol*s),3.92726,121.535,kJ/mol,1.0,K,300.0,K,3000.0,K,1.16061,0.0194007,0.110947,0.0,132.08,120.78,0.156359,cm^3/(mol*s),3.86948,0.487714,kJ/mol,1.0,K,300.0,K,3000.0,K,1.1661,0.0200148,0.114459,ZEUS
rxn_1803,1.3426132716977244,1.3487442710832571,174.29781961852845,53.74412096778416,15.04806461555588,3.75865e-06,cm^3/(mol*s),4.91839,22.3884,kJ/mol,1.0,K,300.0,K,3000.0,K,2.37767,0.112813,0.645147,12.01,60.04,0.0,1.48758e-05,cm^3/(mol*s),4.95048,34.7041,kJ/mol,1.0,K,300.0,K,3000.0,K,2.32581,0.109941,0.628721,ZEUS
kfir_rxn_5989,1.109519358094316,1.2241624810701457,153.66579994339406,293.62677225613385,314.9407963946329,3.57559e-06,cm^3/(mol*s),4.79655,6.55421,kJ/mol,1.0,K,300.0,K,3000.0,K,1.4624,0.049506,0.283111,17.16,45.32,0.0,4.78717e-05,cm^3/(mol*s),4.53278,22.8359,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31448,0.0356161,0.203679,KFIR_ZEUS
rxn_119,1.1903190780461892,1.2977724302348987,157.8952039301091,297.9785101720367,304.89037910615605,0.245673,cm^3/(mol*s),3.86096,-1.4164,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14487,0.017622,0.100775,35.55,52.9,0.0,0.185367,cm^3/(mol*s),3.86807,34.1327,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14341,0.0174559,0.0998257,ZEUS
rmg_rxn_218,1.3125018165212503,1.3955011494439429,170.3853274908927,124.9180440607846,113.550222870118,1.49935e-05,cm^3/(mol*s),4.66219,15.5939,kJ/mol,1.0,K,300.0,K,3000.0,K,1.93832,0.0862029,0.492971,29.34,65.2,0.0,3.71581e-06,cm^3/(mol*s),4.7792,44.597,kJ/mol,1.0,K,300.0,K,3000.0,K,1.97489,0.0886378,0.506895,ATLAS
rxn_3184,1.2551871913960249,1.3771053581765689,173.40278256607115,72.01606771657912,359.11622055519604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rmg_rxn_632,1.2951349281657285,1.4118297083641556,171.5683645973003,80.55873608222852,309.64716367467645,0.000315229,cm^3/(mol*s),4.12466,4.88725,kJ/mol,1.0,K,300.0,K,3000.0,K,1.34542,0.0386459,0.221005,46.53,68.11,0.0,7.04281e-05,cm^3/(mol*s),4.30371,50.301,kJ/mol,1.0,K,300.0,K,3000.0,K,1.40535,0.044323,0.253471,ATLAS
rmg_rxn_16498,1.220377984042213,1.3907727795205698,176.55761520318225,89.71872036863107,348.2069668632289,7.59589e-05,cm^3/(mol*s),4.52414,6.71023,kJ/mol,1.0,K,300.0,K,3000.0,K,1.6283,0.0635022,0.363151,47.79,76.59,0.0,2.54085e-05,cm^3/(mol*s),4.7744,54.9263,kJ/mol,1.0,K,300.0,K,3000.0,K,1.78246,0.0752845,0.430531,ZEUS
rxn_1095,1.3095318065333077,1.3942272378487222,174.6957672858944,94.4179466071767,353.90883962536446,3.30688e-05,cm^3/(mol*s),4.88481,21.6858,kJ/mol,1.0,K,300.0,K,3000.0,K,2.29127,0.107992,0.617576,38.32,81.03,0.0,4.24481e-07,cm^3/(mol*s),4.93412,57.6783,kJ/mol,1.0,K,300.0,K,3000.0,K,2.33805,0.110624,0.63263,ZEUS
rmg_rxn_50,1.2272295261896946,1.3164585906809918,172.4099028978901,359.9892342138069,0.0111307398732546,4.7833e-09,cm^3/(mol*s),5.91786,54.8194,kJ/mol,1.0,K,300.0,K,3000.0,K,3.72362,0.171241,0.979278,0.0,86.58,36.39,1.06968e-08,cm^3/(mol*s),5.43867,17.9488,kJ/mol,1.0,K,300.0,K,3000.0,K,3.2044,0.151681,0.86742,ATLAS
rmg_rxn_15690,1.3149513332078642,1.4047520606763626,162.44329727502938,326.12394748910265,314.49687266579417,7.57035e-06,cm^3/(mol*s),4.55073,13.6435,kJ/mol,1.0,K,300.0,K,3000.0,K,1.80503,0.0769231,0.439902,16.08,52.12,0.0,3.96669e-06,cm^3/(mol*s),4.68184,29.196,kJ/mol,1.0,K,300.0,K,3000.0,K,1.88712,0.082716,0.47303,ZEUS
rxn_3156,1.2491350519269626,1.3811804844551083,172.91753774118453,284.8951310480946,1.7311038545031967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxn_230,1.1002301755582713,1.2661644527688272,163.7153058394352,305.9924799604748,68.32793395478078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxn_761,1.3076281728703278,1.3700168216674993,176.23848918490353,343.4019391955735,239.1785344076916,0.0012214,cm^3/(mol*s),4.45963,39.1025,kJ/mol,1.0,K,300.0,K,3000.0,K,1.72172,0.0707682,0.404704,0.0,59.48,25.34,0.00354046,cm^3/(mol*s),4.69309,14.1728,kJ/mol,1.0,K,300.0,K,3000.0,K,1.83346,0.0789585,0.451542,ZEUS
rmg_rxn_16460,1.2447767323299044,1.3495062914288614,176.1001187360704,350.8046662801792,115.65837571182082,0.000279505,cm^3/(mol*s),4.32905,4.51367,kJ/mol,1.0,K,300.0,K,3000.0,K,1.46865,0.0500616,0.286289,35.87,60.21,0.0,0.00187717,cm^3/(mol*s),4.5805,41.8302,kJ/mol,1.0,K,300.0,K,3000.0,K,1.59632,0.0609189,0.348379,ZEUS
rmg_rxn_16654,1.311074709162438,1.331518259018528,172.69332678192356,357.65676786788686,121.65541199948986,0.00150875,cm^3/(mol*s),4.40363,4.24053,kJ/mol,1.0,K,300.0,K,3000.0,K,1.46278,0.0495392,0.283301,58.35,82.93,0.0,0.000609264,cm^3/(mol*s),4.83052,64.4273,kJ/mol,1.0,K,300.0,K,3000.0,K,1.74525,0.0725363,0.414815,ZEUS
rmg_rxn_15385,1.2187338607893228,1.51137726152475,173.71623460560264,235.69091594774247,285.8129899798575,1.43379,cm^3/(mol*s),3.98423,8.03174,kJ/mol,1.0,K,300.0,K,3000.0,K,1.25244,0.0293185,0.167665,166.83,186.98,0.0,0.900251,cm^3/(mol*s),4.32523,176.376,kJ/mol,1.0,K,300.0,K,3000.0,K,1.37118,0.0411167,0.235135,ZEUS
rmg_rxn_500,1.2394532154082016,1.4912019041096314,173.45345950586776,253.73695925633743,121.17810933807628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxn_1490,1.3399361003044772,1.3592284551094864,173.564512335041,86.55099743868685,103.62830702910108,1.34981e-05,cm^3/(mol*s),4.90148,55.6755,kJ/mol,1.0,K,300.0,K,3000.0,K,2.27586,0.107113,0.612549,0.0,77.12,35.64,2.70788e-05,cm^3/(mol*s),4.86959,20.0068,kJ/mol,1.0,K,300.0,K,3000.0,K,2.23698,0.104869,0.599716,ZEUS
rxn_233,1.2060415413946992,1.2904967680768318,174.06501104308373,18.69988512870254,8.951890308384549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
