rxn,label,A,A_units,n,Ea,Ea_units,T0,Tmin,Tmax,dA,dn,dEa,source_comment
rmg_rxn_683,k_rev (TST),11.6225,cm^3/(mol*s),3.32967,75.1527,kJ/mol,1.0 K,300.0 K,3000.0 K,1.08455,0.0105713,0.0604543,"Fitted to 50 data points; dA = *|/ 1.08455, dn = +|- 0.0105713, dEa = +|- 0.0604543 kJ/mol"
rmg_rxn_683,k_rev (TST+T),0.21041,cm^3/(mol*s),3.80922,68.1839,kJ/mol,1.0 K,300.0 K,3000.0 K,1.13092,0.0160255,0.0916456,"Fitted to 50 data points; dA = *|/ 1.13092, dn = +|- 0.0160255, dEa = +|- 0.0916456 kJ/mol"
rmg_rxn_683,k_for (TST+T),0.122791,cm^3/(mol*s),3.92707,2.64758,kJ/mol,1.0 K,300.0 K,3000.0 K,1.20362,0.02414,0.13805,"Fitted to 50 data points; dA = *|/ 1.20362, dn = +|- 0.02414, dEa = +|- 0.13805 kJ/mol"
rmg_rxn_596,k_rev (TST),48.712,cm^3/(mol*s),3.33549,111.571,kJ/mol,1.0 K,300.0 K,3000.0 K,1.0561,0.0071092,0.0406555,"Fitted to 50 data points; dA = *|/ 1.0561, dn = +|- 0.0071092, dEa = +|- 0.0406555 kJ/mol"
rmg_rxn_596,k_rev (TST+T),0.167629,cm^3/(mol*s),4.01623,102.312,kJ/mol,1.0 K,300.0 K,3000.0 K,1.30214,0.0343875,0.196653,"Fitted to 50 data points; dA = *|/ 1.30214, dn = +|- 0.0343875, dEa = +|- 0.196653 kJ/mol"
rmg_rxn_596,k_for (TST+T),1.94113,cm^3/(mol*s),3.79105,4.53413,kJ/mol,1.0 K,300.0 K,3000.0 K,1.38394,0.0423229,0.242033,"Fitted to 50 data points; dA = *|/ 1.38394, dn = +|- 0.0423229, dEa = +|- 0.242033 kJ/mol"
rmg_rxn_271,k_rev (TST),0.441903,cm^3/(mol*s),3.51551,41.0659,kJ/mol,1.0 K,300.0 K,3000.0 K,1.04743,0.00603587,0.0345175,"Fitted to 50 data points; dA = *|/ 1.04743, dn = +|- 0.00603587, dEa = +|- 0.0345175 kJ/mol"
rmg_rxn_271,k_rev (TST+T),0.0093276,cm^3/(mol*s),3.97236,33.1847,kJ/mol,1.0 K,300.0 K,3000.0 K,1.1919,0.0228651,0.130759,"Fitted to 50 data points; dA = *|/ 1.1919, dn = +|- 0.0228651, dEa = +|- 0.130759 kJ/mol"
rmg_rxn_271,k_for (TST+T),0.00457707,cm^3/(mol*s),3.6969,-3.79127,kJ/mol,1.0 K,300.0 K,3000.0 K,1.05043,0.00640804,0.0366458,"Fitted to 50 data points; dA = *|/ 1.05043, dn = +|- 0.00640804, dEa = +|- 0.0366458 kJ/mol"
rmg_rxn_638,k_rev (TST),12.0588,cm^3/(mol*s),3.41494,52.2681,kJ/mol,1.0 K,300.0 K,3000.0 K,1.05941,0.00751755,0.0429908,"Fitted to 50 data points; dA = *|/ 1.05941, dn = +|- 0.00751755, dEa = +|- 0.0429908 kJ/mol"
