reaction_type,A,A_unit,n,Ea,Ea_unit,T0,T0_unit,Tmin,Tmin_unit,Tmax,Tmax_unit,dA,dn,dEa,status,group,reaction_id,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol
reverse,0.00253892,cm^3/(mol*s),4.25001,40.4197,kJ/mol,1.0,K,300.0,K,3000.0,K,1.49948,0.0527669,0.30176,parsed,ZEUS,rmg_rxn_15521,27.76,57.33,0.0
forward,0.00152612,cm^3/(mol*s),4.40136,12.8636,kJ/mol,1.0,K,300.0,K,3000.0,K,1.5679,0.0585786,0.334995,parsed,ZEUS,rmg_rxn_15521,27.76,57.33,0.0
reverse,0.0349929,cm^3/(mol*s),4.20166,56.8148,kJ/mol,1.0,K,300.0,K,3000.0,K,1.42543,0.0461706,0.264037,parsed,ZEUS,rmg_rxn_15734,45.4,72.14,0.0
forward,0.0207041,cm^3/(mol*s),4.31039,10.7974,kJ/mol,1.0,K,300.0,K,3000.0,K,1.48889,0.0518439,0.296481,parsed,ZEUS,rmg_rxn_15734,45.4,72.14,0.0
reverse,5.38008e-06,cm^3/(mol*s),5.20716,107.001,kJ/mol,1.0,K,300.0,K,3000.0,K,2.22306,0.104056,0.595066,parsed,ZEUS,rmg_rxn_16473,94.67,130.14,0.0
forward,1.10515e-05,cm^3/(mol*s),5.00846,12.2418,kJ/mol,1.0,K,300.0,K,3000.0,K,2.1793,0.101466,0.580255,parsed,ZEUS,rmg_rxn_16473,94.67,130.14,0.0
reverse,0.00187717,cm^3/(mol*s),4.5805,41.8302,kJ/mol,1.0,K,300.0,K,3000.0,K,1.59632,0.0609189,0.348379,parsed,ZEUS,rmg_rxn_16460,35.87,60.21,0.0
forward,0.000279505,cm^3/(mol*s),4.32905,4.51367,kJ/mol,1.0,K,300.0,K,3000.0,K,1.46865,0.0500616,0.286289,parsed,ZEUS,rmg_rxn_16460,35.87,60.21,0.0
reverse,7.13641e-05,cm^3/(mol*s),4.56779,52.9228,kJ/mol,1.0,K,300.0,K,3000.0,K,1.58571,0.0600498,0.343408,parsed,ZEUS,rmg_rxn_16524,47.47,72.31,0.0
forward,0.000200016,cm^3/(mol*s),4.33095,4.99664,kJ/mol,1.0,K,300.0,K,3000.0,K,1.44733,0.0481565,0.275394,parsed,ZEUS,rmg_rxn_16524,47.47,72.31,0.0
reverse,0.00555301,cm^3/(mol*s),4.34393,45.8075,kJ/mol,1.0,K,300.0,K,3000.0,K,1.54576,0.0567262,0.324401,parsed,ZEUS,rmg_rxn_15513,32.25,62.62,0.0
forward,0.00372533,cm^3/(mol*s),4.43776,13.6557,kJ/mol,1.0,K,300.0,K,3000.0,K,1.61061,0.0620797,0.355016,parsed,ZEUS,rmg_rxn_15513,32.25,62.62,0.0
reverse,1.24585e-06,cm^3/(mol*s),4.96273,25.615,kJ/mol,1.0,K,300.0,K,3000.0,K,2.42681,0.115478,0.660387,parsed,ZEUS,rmg_rxn_15684,0.0,51.19,0.04
forward,1.13305e-05,cm^3/(mol*s),4.95533,27.4375,kJ/mol,1.0,K,300.0,K,3000.0,K,2.35951,0.111814,0.639436,parsed,ZEUS,rmg_rxn_15684,0.0,51.19,0.04
reverse,0.0636388,cm^3/(mol*s),4.12085,55.5055,kJ/mol,1.0,K,300.0,K,3000.0,K,1.18422,0.0220231,0.125944,parsed,ZEUS,rmg_rxn_16480,57.72,67.95,0.0
forward,0.168362,cm^3/(mol*s),3.73581,-2.33294,kJ/mol,1.0,K,300.0,K,3000.0,K,1.0626,0.00790911,0.04523,parsed,ZEUS,rmg_rxn_16480,57.72,67.95,0.0
reverse,0.617688,cm^3/(mol*s),3.92659,145.363,kJ/mol,1.0,K,300.0,K,3000.0,K,1.1775,0.0212818,0.121704,parsed,ZEUS,rmg_rxn_15486,141.95,154.6,0.0
forward,0.314155,cm^3/(mol*s),3.81369,1.96695,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14359,0.0174758,0.0999394,parsed,ZEUS,rmg_rxn_15486,141.95,154.6,0.0
reverse,0.00271451,cm^3/(mol*s),4.24031,53.5941,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31087,0.0352575,0.201628,parsed,ZEUS,rmg_rxn_16640,52.75,69.41,0.0
forward,0.0118734,cm^3/(mol*s),3.92992,0.489709,kJ/mol,1.0,K,300.0,K,3000.0,K,1.17962,0.0215168,0.123049,parsed,ZEUS,rmg_rxn_16640,52.75,69.41,0.0
reverse,0.000492763,cm^3/(mol*s),4.47279,43.8901,kJ/mol,1.0,K,300.0,K,3000.0,K,1.67059,0.066842,0.382251,parsed,ZEUS,rmg_rxn_15419,29.19,62.82,0.0
forward,0.00054168,cm^3/(mol*s),4.58423,14.6356,kJ/mol,1.0,K,300.0,K,3000.0,K,1.74632,0.0726161,0.415272,parsed,ZEUS,rmg_rxn_15419,29.19,62.82,0.0
reverse,0.000528635,cm^3/(mol*s),4.67591,21.2038,kJ/mol,1.0,K,300.0,K,3000.0,K,1.84437,0.0797318,0.455964,parsed,ZEUS,rmg_rxn_16772,6.28,40.73,0.0
forward,0.000488513,cm^3/(mol*s),4.52998,14.527,kJ/mol,1.0,K,300.0,K,3000.0,K,1.73102,0.0714702,0.408718,parsed,ZEUS,rmg_rxn_16772,6.28,40.73,0.0
reverse,0.00018615,cm^3/(mol*s),4.63513,17.8634,kJ/mol,1.0,K,300.0,K,3000.0,K,1.76198,0.0737792,0.421923,parsed,ZEUS,rmg_rxn_15493,0.0,36.37,0.0
forward,0.000612661,cm^3/(mol*s),4.42591,17.6944,kJ/mol,1.0,K,300.0,K,3000.0,K,1.6646,0.0663737,0.379573,parsed,ZEUS,rmg_rxn_15493,0.0,36.37,0.0
reverse,0.00041332,cm^3/(mol*s),4.62817,53.1784,kJ/mol,1.0,K,300.0,K,3000.0,K,1.62138,0.0629476,0.35998,parsed,ZEUS,rmg_rxn_16472,46.88,72.25,0.0
forward,0.000457237,cm^3/(mol*s),4.36267,5.67561,kJ/mol,1.0,K,300.0,K,3000.0,K,1.47148,0.050312,0.28772,parsed,ZEUS,rmg_rxn_16472,46.88,72.25,0.0
reverse,4.06465e-06,cm^3/(mol*s),4.69323,79.545,kJ/mol,1.0,K,300.0,K,3000.0,K,1.84128,0.0795133,0.454714,parsed,ZEUS,rmg_rxn_15703,68.91,100.49,0.0
forward,1.01312e-05,cm^3/(mol*s),4.50208,10.731,kJ/mol,1.0,K,300.0,K,3000.0,K,1.71039,0.0699087,0.399789,parsed,ZEUS,rmg_rxn_15703,68.91,100.49,0.0
reverse,1.59057e-06,cm^3/(mol*s),5.00713,47.757,kJ/mol,1.0,K,300.0,K,3000.0,K,2.25908,0.106149,0.607037,parsed,ZEUS,rmg_rxn_16735,34.59,72.06,0.0
forward,1.24752e-06,cm^3/(mol*s),5.06771,13.0034,kJ/mol,1.0,K,300.0,K,3000.0,K,2.29998,0.108486,0.620403,parsed,ZEUS,rmg_rxn_16735,34.59,72.06,0.0
reverse,7.57043e-05,cm^3/(mol*s),4.42909,27.052,kJ/mol,1.0,K,300.0,K,3000.0,K,1.5225,0.0547516,0.313109,parsed,ZEUS,rmg_rxn_16463,22.16,45.8,0.0
forward,6.99636e-05,cm^3/(mol*s),4.3025,4.33489,kJ/mol,1.0,K,300.0,K,3000.0,K,1.43138,0.0467129,0.267138,parsed,ZEUS,rmg_rxn_16463,22.16,45.8,0.0
reverse,0.900251,cm^3/(mol*s),4.32523,176.376,kJ/mol,1.0,K,300.0,K,3000.0,K,1.37118,0.0411167,0.235135,parsed,ZEUS,rmg_rxn_15385,166.83,186.98,0.0
forward,1.43379,cm^3/(mol*s),3.98423,8.03174,kJ/mol,1.0,K,300.0,K,3000.0,K,1.25244,0.0293185,0.167665,parsed,ZEUS,rmg_rxn_15385,166.83,186.98,0.0
reverse,0.0612185,cm^3/(mol*s),4.01758,76.6845,kJ/mol,1.0,K,300.0,K,3000.0,K,1.16131,0.0194786,0.111393,parsed,ZEUS,rmg_rxn_15577,79.61,88.83,0.0
forward,0.441899,cm^3/(mol*s),3.54908,-2.77345,kJ/mol,1.0,K,300.0,K,3000.0,K,1.03824,0.00488769,0.0279514,parsed,ZEUS,rmg_rxn_15577,79.61,88.83,0.0
reverse,5.64745e-05,cm^3/(mol*s),4.76782,37.5519,kJ/mol,1.0,K,300.0,K,3000.0,K,2.13128,0.0985638,0.563659,parsed,ZEUS,rmg_rxn_15613,16.2,60.27,0.0
forward,3.04061e-05,cm^3/(mol*s),4.76416,20.7983,kJ/mol,1.0,K,300.0,K,3000.0,K,2.12687,0.0982942,0.562118,parsed,ZEUS,rmg_rxn_15613,16.2,60.27,0.0
reverse,0.00546407,cm^3/(mol*s),4.28817,12.9117,kJ/mol,1.0,K,300.0,K,3000.0,K,1.34556,0.03866,0.221086,parsed,ZEUS,rmg_rxn_16496,8.54,26.79,0.0
forward,0.0140852,cm^3/(mol*s),3.90148,3.71494,kJ/mol,1.0,K,300.0,K,3000.0,K,1.25094,0.0291628,0.166774,parsed,ZEUS,rmg_rxn_16496,8.54,26.79,0.0
reverse,0.000334995,cm^3/(mol*s),4.28453,55.6623,kJ/mol,1.0,K,300.0,K,3000.0,K,1.32746,0.0368962,0.210999,parsed,ZEUS,rmg_rxn_16466,54.73,72.44,0.0
forward,0.000748133,cm^3/(mol*s),3.95043,0.0021702,kJ/mol,1.0,K,300.0,K,3000.0,K,1.20332,0.024107,0.137861,parsed,ZEUS,rmg_rxn_16466,54.73,72.44,0.0
reverse,0.0219003,cm^3/(mol*s),3.82235,37.2014,kJ/mol,1.0,K,300.0,K,3000.0,K,1.10023,0.012442,0.0711526,parsed,ZEUS,rmg_rxn_16755,39.67,49.6,0.0
forward,0.010392,cm^3/(mol*s),3.80774,-2.24178,kJ/mol,1.0,K,300.0,K,3000.0,K,1.0892,0.011129,0.0636434,parsed,ZEUS,rmg_rxn_16755,39.67,49.6,0.0
reverse,4.93965e-06,cm^3/(mol*s),4.85583,21.8621,kJ/mol,1.0,K,300.0,K,3000.0,K,2.09492,0.0963224,0.550841,parsed,ZEUS,rmg_rxn_15584,5.23,48.11,0.0
forward,3.58475e-06,cm^3/(mol*s),5.00752,16.904,kJ/mol,1.0,K,300.0,K,3000.0,K,2.34151,0.110817,0.633734,parsed,ZEUS,rmg_rxn_15584,5.23,48.11,0.0
reverse,1.30386,cm^3/(mol*s),3.69408,71.052,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06327,0.00799093,0.0456979,parsed,ZEUS,rmg_rxn_16511,74.38,78.3,0.0
forward,1.40499,cm^3/(mol*s),3.62509,-3.8802,kJ/mol,1.0,K,300.0,K,3000.0,K,1.04082,0.00521139,0.0298025,parsed,ZEUS,rmg_rxn_16511,74.38,78.3,0.0
reverse,1.66955e-05,cm^3/(mol*s),5.06987,63.3368,kJ/mol,1.0,K,300.0,K,3000.0,K,2.53586,0.121203,0.693126,parsed,ZEUS,rmg_rxn_15725,42.52,87.78,0.0
forward,4.07032e-06,cm^3/(mol*s),4.98408,19.9274,kJ/mol,1.0,K,300.0,K,3000.0,K,2.4179,0.114999,0.657647,parsed,ZEUS,rmg_rxn_15725,42.52,87.78,0.0
reverse,0.294408,cm^3/(mol*s),3.99113,87.8541,kJ/mol,1.0,K,300.0,K,3000.0,K,1.13852,0.0168973,0.096631,parsed,ZEUS,rmg_rxn_15636,92.04,97.68,0.0
forward,2.47523,cm^3/(mol*s),3.35437,-4.04486,kJ/mol,1.0,K,300.0,K,3000.0,K,1.10446,0.0129416,0.0740093,parsed,ZEUS,rmg_rxn_15636,92.04,97.68,0.0
reverse,0.0590819,cm^3/(mol*s),4.18757,126.489,kJ/mol,1.0,K,300.0,K,3000.0,K,1.29826,0.0339989,0.19443,parsed,ZEUS,rmg_rxn_16555,119.83,136.78,0.0
forward,0.121097,cm^3/(mol*s),3.95139,6.1929,kJ/mol,1.0,K,300.0,K,3000.0,K,1.22712,0.0266586,0.152453,parsed,ZEUS,rmg_rxn_16555,119.83,136.78,0.0
reverse,0.0894986,cm^3/(mol*s),3.88888,56.4538,kJ/mol,1.0,K,300.0,K,3000.0,K,1.17475,0.0209781,0.119968,parsed,ZEUS,rmg_rxn_15423,52.82,66.2,0.0
forward,0.264731,cm^3/(mol*s),3.85094,3.66982,kJ/mol,1.0,K,300.0,K,3000.0,K,1.18041,0.0216034,0.123544,parsed,ZEUS,rmg_rxn_15423,52.82,66.2,0.0
reverse,0.000917977,cm^3/(mol*s),4.27467,41.8402,kJ/mol,1.0,K,300.0,K,3000.0,K,1.52984,0.0553781,0.316692,parsed,ZEUS,rmg_rxn_15408,29.09,59.6,0.0
forward,0.00409627,cm^3/(mol*s),4.42987,13.3287,kJ/mol,1.0,K,300.0,K,3000.0,K,1.59734,0.0610018,0.348853,parsed,ZEUS,rmg_rxn_15408,29.09,59.6,0.0
reverse,9.36034e-05,cm^3/(mol*s),4.53713,33.1138,kJ/mol,1.0,K,300.0,K,3000.0,K,1.59844,0.0610914,0.349365,parsed,ZEUS,rmg_rxn_16534,27.66,53.13,0.0
forward,0.000266105,cm^3/(mol*s),4.33455,5.27813,kJ/mol,1.0,K,300.0,K,3000.0,K,1.4617,0.0494433,0.282753,parsed,ZEUS,rmg_rxn_16534,27.66,53.13,0.0
reverse,1.74324e-06,cm^3/(mol*s),5.05818,52.9261,kJ/mol,1.0,K,300.0,K,3000.0,K,2.55558,0.122212,0.698897,parsed,ZEUS,rmg_rxn_15585,32.34,78.75,0.0
forward,2.36553e-05,cm^3/(mol*s),5.00482,20.7819,kJ/mol,1.0,K,300.0,K,3000.0,K,2.4535,0.116902,0.668533,parsed,ZEUS,rmg_rxn_15585,32.34,78.75,0.0
reverse,2.22893e-07,cm^3/(mol*s),5.4334,47.9693,kJ/mol,1.0,K,300.0,K,3000.0,K,3.51336,0.16367,0.935983,parsed,ZEUS,rxn_1047,15.08,75.26,0.0
forward,1.08503e-07,cm^3/(mol*s),5.42725,32.3412,kJ/mol,1.0,K,300.0,K,3000.0,K,3.49569,0.163013,0.932227,parsed,ZEUS,rxn_1047,15.08,75.26,0.0
reverse,2.415e-07,cm^3/(mol*s),5.43384,46.832,kJ/mol,1.0,K,300.0,K,3000.0,K,3.5202,0.163923,0.937432,parsed,ZEUS,rxn_1380,13.61,73.98,0.0
forward,3.11996e-07,cm^3/(mol*s),5.49795,33.0195,kJ/mol,1.0,K,300.0,K,3000.0,K,3.53532,0.164482,0.940625,parsed,ZEUS,rxn_1380,13.61,73.98,0.0
reverse,6.50947e-06,cm^3/(mol*s),4.80416,25.2792,kJ/mol,1.0,K,300.0,K,3000.0,K,2.01666,0.0913635,0.522483,parsed,ZEUS,rxn_41,8.02,46.08,0.0
forward,9.43109e-06,cm^3/(mol*s),4.64487,16.9783,kJ/mol,1.0,K,300.0,K,3000.0,K,1.91741,0.0847906,0.484894,parsed,ZEUS,rxn_41,8.02,46.08,0.0
reverse,3.11635e-06,cm^3/(mol*s),5.07938,23.3215,kJ/mol,1.0,K,300.0,K,3000.0,K,2.65178,0.127025,0.72642,parsed,ZEUS,rxn_1463,0.0,84.14,36.96
forward,2.73908e-07,cm^3/(mol*s),5.14294,58.7548,kJ/mol,1.0,K,300.0,K,3000.0,K,2.65971,0.127414,0.728646,parsed,ZEUS,rxn_1463,0.0,84.14,36.96
reverse,35708.3,cm^3/(mol*s),2.51913,78.7383,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14271,0.0173754,0.0993651,parsed,ZEUS,rxn_1477,69.72,93.53,0.0
forward,1638690.0,cm^3/(mol*s),2.3081,13.7594,kJ/mol,1.0,K,300.0,K,3000.0,K,1.20909,0.0247304,0.141426,parsed,ZEUS,rxn_1477,69.72,93.53,0.0
reverse,0.121976,cm^3/(mol*s),3.95159,46.4339,kJ/mol,1.0,K,300.0,K,3000.0,K,1.22101,0.026008,0.148733,parsed,ZEUS,rxn_573,44.25,57.11,0.0
forward,0.155668,cm^3/(mol*s),3.98803,2.42935,kJ/mol,1.0,K,300.0,K,3000.0,K,1.2249,0.0264225,0.151103,parsed,ZEUS,rxn_573,44.25,57.11,0.0
reverse,274.227,cm^3/(mol*s),3.2183,20.1674,kJ/mol,1.0,K,300.0,K,3000.0,K,1.04169,0.00532063,0.0304272,parsed,ZEUS,rxn_695,23.59,34.83,0.0
forward,828.424,cm^3/(mol*s),3.01415,-3.15962,kJ/mol,1.0,K,300.0,K,3000.0,K,1.03124,0.00400669,0.0229131,parsed,ZEUS,rxn_695,23.59,34.83,0.0
reverse,2.81083e-08,cm^3/(mol*s),5.52494,37.4807,kJ/mol,1.0,K,300.0,K,3000.0,K,3.90683,0.177497,1.01505,parsed,ZEUS,rxn_1069,0.0,80.66,16.12
forward,8.33478e-09,cm^3/(mol*s),5.63518,53.255,kJ/mol,1.0,K,300.0,K,3000.0,K,3.97839,0.179861,1.02857,parsed,ZEUS,rxn_1069,0.0,80.66,16.12
reverse,0.000181151,cm^3/(mol*s),4.58029,38.0461,kJ/mol,1.0,K,300.0,K,3000.0,K,2.04701,0.093309,0.533609,parsed,ZEUS,rxn_895,0.0,99.22,41.06
forward,0.000597613,cm^3/(mol*s),4.83382,80.0161,kJ/mol,1.0,K,300.0,K,3000.0,K,2.13858,0.0990092,0.566206,parsed,ZEUS,rxn_895,0.0,99.22,41.06
reverse,0.32721,cm^3/(mol*s),4.36056,108.703,kJ/mol,1.0,K,300.0,K,3000.0,K,1.44211,0.0476861,0.272704,parsed,ZEUS,rxn_1951,98.6,124.56,0.0
forward,1.13676,cm^3/(mol*s),3.9312,8.91085,kJ/mol,1.0,K,300.0,K,3000.0,K,1.27766,0.0319151,0.182514,parsed,ZEUS,rxn_1951,98.6,124.56,0.0
reverse,0.196117,cm^3/(mol*s),4.01423,6.80286,kJ/mol,1.0,K,300.0,K,3000.0,K,1.30123,0.0342961,0.19613,parsed,ZEUS,rxn_390,0.0,38.27,17.71
forward,0.0196349,cm^3/(mol*s),3.8189,21.5663,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14482,0.0176156,0.100739,parsed,ZEUS,rxn_390,0.0,38.27,17.71
reverse,0.62995,cm^3/(mol*s),3.77767,96.8903,kJ/mol,1.0,K,300.0,K,3000.0,K,1.11712,0.0144254,0.0824948,parsed,ZEUS,rxn_1274,98.68,108.22,0.0
forward,0.469499,cm^3/(mol*s),3.80233,-0.974232,kJ/mol,1.0,K,300.0,K,3000.0,K,1.12426,0.0152552,0.0872404,parsed,ZEUS,rxn_1274,98.68,108.22,0.0
reverse,0.00384369,cm^3/(mol*s),4.2064,20.1174,kJ/mol,1.0,K,300.0,K,3000.0,K,1.52985,0.0553788,0.316696,parsed,ZEUS,rxn_1655,0.0,142.55,108.23
forward,0.00679001,cm^3/(mol*s),4.36282,128.722,kJ/mol,1.0,K,300.0,K,3000.0,K,1.61312,0.0622818,0.356173,parsed,ZEUS,rxn_1655,0.0,142.55,108.23
reverse,48.2649,cm^3/(mol*s),3.2905,28.6549,kJ/mol,1.0,K,300.0,K,3000.0,K,1.4656,0.0497901,0.284736,parsed,ZEUS,rxn_766,10.02,51.3,0.0
forward,3221.27,cm^3/(mol*s),2.97279,22.0375,kJ/mol,1.0,K,300.0,K,3000.0,K,1.75157,0.0730074,0.417509,parsed,ZEUS,rxn_766,10.02,51.3,0.0
reverse,2.03569,cm^3/(mol*s),3.875,118.532,kJ/mol,1.0,K,300.0,K,3000.0,K,1.11873,0.0146132,0.083569,parsed,ZEUS,rxn_1969,119.59,127.24,0.0
forward,1.15321,cm^3/(mol*s),3.61869,-2.06582,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06439,0.00812781,0.0464807,parsed,ZEUS,rxn_1969,119.59,127.24,0.0
reverse,140979.0,cm^3/(mol*s),2.34621,-4.6539,kJ/mol,1.0,K,300.0,K,3000.0,K,1.09022,0.0112507,0.0643394,parsed,ZEUS,rxn_697,0.0,39.16,34.61
forward,3511300.0,cm^3/(mol*s),2.13112,32.128,kJ/mol,1.0,K,300.0,K,3000.0,K,1.03396,0.00434944,0.0248733,parsed,ZEUS,rxn_697,0.0,39.16,34.61
reverse,0.00013638,cm^3/(mol*s),4.43111,11.0147,kJ/mol,1.0,K,300.0,K,3000.0,K,1.62562,0.0632874,0.361923,parsed,ZEUS,rxn_604,0.0,83.01,54.06
forward,0.000107809,cm^3/(mol*s),4.49049,64.7604,kJ/mol,1.0,K,300.0,K,3000.0,K,1.66925,0.0667372,0.381651,parsed,ZEUS,rxn_604,0.0,83.01,54.06
reverse,25732.1,cm^3/(mol*s),2.50532,71.6489,kJ/mol,1.0,K,300.0,K,3000.0,K,1.15679,0.0189711,0.108491,parsed,ZEUS,rxn_667,70.55,87.45,0.0
forward,984687.0,cm^3/(mol*s),2.26381,5.61446,kJ/mol,1.0,K,300.0,K,3000.0,K,1.13806,0.0168449,0.0963311,parsed,ZEUS,rxn_667,70.55,87.45,0.0
reverse,0.00578178,cm^3/(mol*s),4.44624,118.97,kJ/mol,1.0,K,300.0,K,3000.0,K,1.6899,0.0683389,0.390811,parsed,ZEUS,rxn_1146,100.34,134.84,0.0
forward,0.000347729,cm^3/(mol*s),4.34788,15.6304,kJ/mol,1.0,K,300.0,K,3000.0,K,1.64524,0.0648503,0.370861,parsed,ZEUS,rxn_1146,100.34,134.84,0.0
reverse,0.00011835,cm^3/(mol*s),5.26754,79.4568,kJ/mol,1.0,K,300.0,K,3000.0,K,2.43548,0.115942,0.663042,parsed,ZEUS,rxn_721,68.33,107.54,0.0
forward,0.000676153,cm^3/(mol*s),4.87897,10.7562,kJ/mol,1.0,K,300.0,K,3000.0,K,2.08713,0.0958377,0.548069,parsed,ZEUS,rxn_721,68.33,107.54,0.0
reverse,0.0135725,cm^3/(mol*s),3.8724,41.5408,kJ/mol,1.0,K,300.0,K,3000.0,K,2.31379,0.109266,0.624862,parsed,ZEUS,rxn_770,19.19,68.14,0.0
forward,0.190212,cm^3/(mol*s),3.84309,23.2181,kJ/mol,1.0,K,300.0,K,3000.0,K,2.27464,0.107043,0.612151,parsed,ZEUS,rxn_770,19.19,68.14,0.0
reverse,7.22595e-07,cm^3/(mol*s),5.27548,32.2928,kJ/mol,1.0,K,300.0,K,3000.0,K,3.2001,0.151506,0.866419,parsed,ZEUS,rxn_1378,0.0,102.68,46.26
forward,3.67674e-07,cm^3/(mol*s),5.552,79.1407,kJ/mol,1.0,K,300.0,K,3000.0,K,3.45207,0.161378,0.922875,parsed,ZEUS,rxn_1378,0.0,102.68,46.26
reverse,6.54331e-06,cm^3/(mol*s),5.14571,43.5695,kJ/mol,1.0,K,300.0,K,3000.0,K,2.82409,0.135225,0.773313,parsed,ZEUS,rxn_1800,11.78,70.85,0.0
forward,6.79496e-06,cm^3/(mol*s),5.1051,31.1756,kJ/mol,1.0,K,300.0,K,3000.0,K,2.82191,0.135124,0.77274,parsed,ZEUS,rxn_1800,11.78,70.85,0.0
reverse,0.0151716,cm^3/(mol*s),4.64215,77.5328,kJ/mol,1.0,K,300.0,K,3000.0,K,1.80257,0.076746,0.438889,parsed,ZEUS,rxn_115,61.95,97.76,0.0
forward,0.0855339,cm^3/(mol*s),4.4563,15.8842,kJ/mol,1.0,K,300.0,K,3000.0,K,1.72588,0.0710831,0.406504,parsed,ZEUS,rxn_115,61.95,97.76,0.0
reverse,4995.98,cm^3/(mol*s),2.78067,67.2747,kJ/mol,1.0,K,300.0,K,3000.0,K,1.07713,0.00967764,0.0553438,parsed,ZEUS,rxn_182,56.75,84.68,0.0
forward,18722.9,cm^3/(mol*s),2.57849,13.5278,kJ/mol,1.0,K,300.0,K,3000.0,K,1.37222,0.0412154,0.2357,parsed,ZEUS,rxn_182,56.75,84.68,0.0
reverse,2.68023e-07,cm^3/(mol*s),5.28177,49.1698,kJ/mol,1.0,K,300.0,K,3000.0,K,3.13488,0.148824,0.851082,parsed,ZEUS,rxn_1182,14.27,72.82,0.0
forward,1.68324e-08,cm^3/(mol*s),5.30668,33.875,kJ/mol,1.0,K,300.0,K,3000.0,K,3.19536,0.151313,0.865316,parsed,ZEUS,rxn_1182,14.27,72.82,0.0
reverse,0.000551011,cm^3/(mol*s),4.52307,11.5096,kJ/mol,1.0,K,300.0,K,3000.0,K,1.81823,0.0778723,0.44533,parsed,ZEUS,rxn_907,0.0,92.29,59.23
forward,0.00193736,cm^3/(mol*s),4.74789,71.4153,kJ/mol,1.0,K,300.0,K,3000.0,K,1.89465,0.0832352,0.475999,parsed,ZEUS,rxn_907,0.0,92.29,59.23
reverse,0.000617594,cm^3/(mol*s),4.00168,4.0217,kJ/mol,1.0,K,300.0,K,3000.0,K,1.28706,0.0328705,0.187977,parsed,ZEUS,rxn_1933,0.0,79.96,63.54
forward,0.0129669,cm^3/(mol*s),4.05408,69.3196,kJ/mol,1.0,K,300.0,K,3000.0,K,1.27492,0.0316362,0.180918,parsed,ZEUS,rxn_1933,0.0,79.96,63.54
reverse,448.812,cm^3/(mol*s),2.7124,38.6325,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08757,0.0109339,0.0625277,parsed,ZEUS,rxn_387,41.45,53.21,0.0
forward,89.1602,cm^3/(mol*s),2.9094,-3.72555,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08071,0.0101104,0.0578185,parsed,ZEUS,rxn_387,41.45,53.21,0.0
reverse,84.0864,cm^3/(mol*s),3.20431,4.92291,kJ/mol,1.0,K,300.0,K,3000.0,K,1.10118,0.0125545,0.0717957,parsed,ZEUS,rxn_386,5.12,20.74,0.0
forward,13058.3,cm^3/(mol*s),2.93493,3.00949,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31489,0.0356566,0.20391,parsed,ZEUS,rxn_386,5.12,20.74,0.0
reverse,2.48858,cm^3/(mol*s),4.24415,42.1317,kJ/mol,1.0,K,300.0,K,3000.0,K,1.51989,0.054528,0.31183,parsed,ZEUS,rxn_317,31.48,61.26,0.0
forward,0.0569509,cm^3/(mol*s),4.62999,10.7722,kJ/mol,1.0,K,300.0,K,3000.0,K,1.70417,0.0694337,0.397072,parsed,ZEUS,rxn_317,31.48,61.26,0.0
reverse,8426.46,cm^3/(mol*s),2.70448,120.215,kJ/mol,1.0,K,300.0,K,3000.0,K,1.10669,0.0132042,0.0755114,parsed,ZEUS,rxn_1994,115.8,134.82,0.0
forward,776484.0,cm^3/(mol*s),2.27738,8.77558,kJ/mol,1.0,K,300.0,K,3000.0,K,1.18791,0.0224286,0.128263,parsed,ZEUS,rxn_1994,115.8,134.82,0.0
reverse,0.00276544,cm^3/(mol*s),4.59668,45.3338,kJ/mol,1.0,K,300.0,K,3000.0,K,1.82932,0.0786646,0.449861,parsed,ZEUS,rxn_483,29.56,67.2,0.0
forward,0.0182522,cm^3/(mol*s),4.49806,15.9875,kJ/mol,1.0,K,300.0,K,3000.0,K,1.78123,0.0751942,0.430015,parsed,ZEUS,rxn_483,29.56,67.2,0.0
reverse,0.000211525,cm^3/(mol*s),4.32094,31.3555,kJ/mol,1.0,K,300.0,K,3000.0,K,1.57005,0.0587569,0.336015,parsed,ZEUS,rxn_101,23.4,56.6,0.0
forward,0.00125653,cm^3/(mol*s),4.51362,9.69897,kJ/mol,1.0,K,300.0,K,3000.0,K,1.72267,0.0708402,0.405116,parsed,ZEUS,rxn_101,23.4,56.6,0.0
reverse,0.000226077,cm^3/(mol*s),4.98836,24.9937,kJ/mol,1.0,K,300.0,K,3000.0,K,2.3365,0.110538,0.632137,parsed,ZEUS,rxn_366,4.0,47.82,0.0
forward,7.09741e-05,cm^3/(mol*s),5.14226,20.5271,kJ/mol,1.0,K,300.0,K,3000.0,K,2.38763,0.113357,0.64826,parsed,ZEUS,rxn_366,4.0,47.82,0.0
