reaction_type,A,A_unit,n,Ea,Ea_unit,T0,T0_unit,Tmin,Tmin_unit,Tmax,Tmax_unit,dA,dn,dEa,status,group,reaction_id,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol
forward,0.0110798,cm^3/(mol*s),4.49408,14.6437,kJ/mol,1.0,K,300.0,K,3000.0,K,1.65911,0.0659436,0.377113,parsed,ZEUS,rmg_rxn_15388,30.73,63.27,0.0
reverse,0.00572352,cm^3/(mol*s),4.39394,89.759,kJ/mol,1.0,K,300.0,K,3000.0,K,1.44887,0.0482949,0.276185,parsed,ZEUS,rmg_rxn_15458,80.59,103.4,0.0
forward,0.00631402,cm^3/(mol*s),4.24796,8.19483,kJ/mol,1.0,K,300.0,K,3000.0,K,1.42791,0.0463974,0.265334,parsed,ZEUS,rmg_rxn_15458,80.59,103.4,0.0
reverse,0.0340588,cm^3/(mol*s),3.64481,22.2764,kJ/mol,1.0,K,300.0,K,3000.0,K,1.03924,0.00501301,0.028668,parsed,ZEUS,rmg_rxn_15644,18.11,35.22,0.0
forward,0.00900203,cm^3/(mol*s),3.87559,4.60908,kJ/mol,1.0,K,300.0,K,3000.0,K,1.23099,0.0270687,0.154799,parsed,ZEUS,rmg_rxn_15644,18.11,35.22,0.0
reverse,3502.58,cm^3/(mol*s),2.4801,17.721,kJ/mol,1.0,K,300.0,K,3000.0,K,1.23559,0.0275542,0.157575,parsed,ZEUS,rmg_rxn_15634,22.89,29.03,0.0
forward,597381.0,cm^3/(mol*s),2.41346,-0.776831,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14218,0.0173149,0.0990191,parsed,ZEUS,rmg_rxn_15634,22.89,29.03,0.0
reverse,0.0364425,cm^3/(mol*s),3.81703,63.6213,kJ/mol,1.0,K,300.0,K,3000.0,K,1.15729,0.0190274,0.108812,parsed,ZEUS,rmg_rxn_15424,59.54,73.52,0.0
forward,0.0662602,cm^3/(mol*s),3.80864,4.31989,kJ/mol,1.0,K,300.0,K,3000.0,K,1.16709,0.0201251,0.11509,parsed,ZEUS,rmg_rxn_15424,59.54,73.52,0.0
reverse,0.0121063,cm^3/(mol*s),4.29741,113.275,kJ/mol,1.0,K,300.0,K,3000.0,K,1.25818,0.0299139,0.17107,parsed,ZEUS,rmg_rxn_15402,114.08,125.8,0.0
forward,0.0854775,cm^3/(mol*s),3.87207,-1.74097,kJ/mol,1.0,K,300.0,K,3000.0,K,1.07842,0.00983415,0.0562388,parsed,ZEUS,rmg_rxn_15402,114.08,125.8,0.0
reverse,104.17,cm^3/(mol*s),3.45999,20.3768,kJ/mol,1.0,K,300.0,K,3000.0,K,1.15193,0.018423,0.105356,parsed,ZEUS,rmg_rxn_15605,22.7,28.97,0.0
forward,24.3022,cm^3/(mol*s),3.23554,-4.16966,kJ/mol,1.0,K,300.0,K,3000.0,K,1.07792,0.00977354,0.0558922,parsed,ZEUS,rmg_rxn_15605,22.7,28.97,0.0
reverse,0.000125678,cm^3/(mol*s),4.46582,11.2023,kJ/mol,1.0,K,300.0,K,3000.0,K,1.69187,0.0684907,0.391679,parsed,ZEUS,rmg_rxn_16613,0.0,45.8,15.34
forward,9.77761e-05,cm^3/(mol*s),4.66215,27.0351,kJ/mol,1.0,K,300.0,K,3000.0,K,1.76591,0.0740693,0.423582,parsed,ZEUS,rmg_rxn_16613,0.0,45.8,15.34
reverse,2.2667e-05,cm^3/(mol*s),4.7573,25.9346,kJ/mol,1.0,K,300.0,K,3000.0,K,1.85867,0.0807373,0.461714,parsed,ZEUS,rmg_rxn_16497,15.66,47.5,0.0
forward,1.79917e-05,cm^3/(mol*s),4.64929,9.27961,kJ/mol,1.0,K,300.0,K,3000.0,K,1.77432,0.0746881,0.427121,parsed,ZEUS,rmg_rxn_16497,15.66,47.5,0.0
reverse,0.0020845,cm^3/(mol*s),3.95944,31.6786,kJ/mol,1.0,K,300.0,K,3000.0,K,1.21023,0.024853,0.142128,parsed,ZEUS,rmg_rxn_15420,31.11,48.43,0.0
forward,0.00272816,cm^3/(mol*s),4.0487,1.21374,kJ/mol,1.0,K,300.0,K,3000.0,K,1.23481,0.0274718,0.157104,parsed,ZEUS,rmg_rxn_15420,31.11,48.43,0.0
reverse,2.11489e-05,cm^3/(mol*s),4.62473,41.6257,kJ/mol,1.0,K,300.0,K,3000.0,K,1.82489,0.0783489,0.448056,parsed,ZEUS,rmg_rxn_15678,28.04,62.59,0.0
forward,7.27297e-05,cm^3/(mol*s),4.51893,14.242,kJ/mol,1.0,K,300.0,K,3000.0,K,1.77466,0.0747131,0.427263,parsed,ZEUS,rmg_rxn_15678,28.04,62.59,0.0
reverse,3767.42,cm^3/(mol*s),2.62752,54.9819,kJ/mol,1.0,K,300.0,K,3000.0,K,1.10984,0.0135737,0.0776241,parsed,ZEUS,rmg_rxn_16786,21.33,71.92,0.0
forward,434612.0,cm^3/(mol*s),2.35114,39.2596,kJ/mol,1.0,K,300.0,K,3000.0,K,1.27378,0.0315196,0.180252,parsed,ZEUS,rmg_rxn_16786,21.33,71.92,0.0
reverse,0.836367,cm^3/(mol*s),3.83807,120.815,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08586,0.0107294,0.0613584,parsed,ZEUS,rmg_rxn_15383,125.01,126.55,0.0
forward,3.57201,cm^3/(mol*s),3.4783,-4.66,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06561,0.00827762,0.0473374,parsed,ZEUS,rmg_rxn_15383,125.01,126.55,0.0
reverse,0.00096785,cm^3/(mol*s),4.34026,135.741,kJ/mol,1.0,K,300.0,K,3000.0,K,1.38166,0.042108,0.240804,parsed,ZEUS,rmg_rxn_15597,128.98,150.0,0.0
forward,0.00631813,cm^3/(mol*s),3.88984,6.92123,kJ/mol,1.0,K,300.0,K,3000.0,K,1.2293,0.0268901,0.153777,parsed,ZEUS,rmg_rxn_15597,128.98,150.0,0.0
reverse,3.00045e-06,cm^3/(mol*s),4.66278,56.016,kJ/mol,1.0,K,300.0,K,3000.0,K,1.62374,0.0631366,0.361061,parsed,ZEUS,rmg_rxn_15711,52.45,77.19,0.0
forward,1.63906e-05,cm^3/(mol*s),4.32535,3.63877,kJ/mol,1.0,K,300.0,K,3000.0,K,1.42271,0.0459217,0.262614,parsed,ZEUS,rmg_rxn_15711,52.45,77.19,0.0
reverse,8.75894e-05,cm^3/(mol*s),4.48759,40.1789,kJ/mol,1.0,K,300.0,K,3000.0,K,1.75434,0.0732129,0.418684,parsed,ZEUS,rmg_rxn_15439,26.31,60.78,0.0
forward,4.79626e-05,cm^3/(mol*s),4.62075,13.9837,kJ/mol,1.0,K,300.0,K,3000.0,K,1.808,0.0771377,0.441129,parsed,ZEUS,rmg_rxn_15439,26.31,60.78,0.0
reverse,0.000196467,cm^3/(mol*s),4.6296,55.8719,kJ/mol,1.0,K,300.0,K,3000.0,K,1.96469,0.0879629,0.503036,parsed,ZEUS,rmg_rxn_16806,30.11,74.71,0.0
forward,0.000159168,cm^3/(mol*s),4.68271,24.7178,kJ/mol,1.0,K,300.0,K,3000.0,K,1.92518,0.0853171,0.487905,parsed,ZEUS,rmg_rxn_16806,30.11,74.71,0.0
reverse,0.00268239,cm^3/(mol*s),4.3644,39.5211,kJ/mol,1.0,K,300.0,K,3000.0,K,1.6367,0.0641721,0.366983,parsed,ZEUS,rmg_rxn_15417,24.98,58.11,0.0
forward,0.00225841,cm^3/(mol*s),4.55551,15.1033,kJ/mol,1.0,K,300.0,K,3000.0,K,1.71042,0.0699112,0.399803,parsed,ZEUS,rmg_rxn_15417,24.98,58.11,0.0
reverse,7.76944e-07,cm^3/(mol*s),4.98029,35.9356,kJ/mol,1.0,K,300.0,K,3000.0,K,2.3157,0.109373,0.625476,parsed,ZEUS,rmg_rxn_15589,17.06,61.51,0.0
forward,8.13936e-07,cm^3/(mol*s),4.91031,19.3998,kJ/mol,1.0,K,300.0,K,3000.0,K,2.30596,0.108824,0.622337,parsed,ZEUS,rmg_rxn_15589,17.06,61.51,0.0
reverse,0.00283758,cm^3/(mol*s),4.64397,18.6908,kJ/mol,1.0,K,300.0,K,3000.0,K,1.58954,0.0603643,0.345207,parsed,ZEUS,rmg_rxn_16484,13.54,37.29,0.0
