rxn,label,A,A_units,n,Ea,Ea_units,T0,Tmin,Tmax,dA,dn,dEa,source_comment,A_log10,Ea_yj
rmg_rxn_13855,k_for (TST+T),0.000331862,cm^3/(mol*s),4.62869,16.9047,kJ/mol,1.0 K,300.0 K,3000.0 K,1.86756,0.0813589,0.465269,"Fitted to 50 data points; dA = *|/ 1.86756, dn = +|- 0.0813589, dEa = +|- 0.465269 kJ/mol",-3.4790424738195633,-0.16153931766773227
rmg_rxn_15586,k_for (TST+T),3.12015e-05,cm^3/(mol*s),4.83177,20.9348,kJ/mol,1.0 K,300.0 K,3000.0 K,2.2734,0.106972,0.611744,"Fitted to 50 data points; dA = *|/ 2.2734, dn = +|- 0.106972, dEa = +|- 0.611744 kJ/mol",-4.505824526941054,-0.01370786137486004
rmg_rxn_16502,k_for (TST+T),1.1953e-07,cm^3/(mol*s),5.48035,21.3358,kJ/mol,1.0 K,300.0 K,3000.0 K,3.11083,0.147821,0.845345,"Fitted to 50 data points; dA = *|/ 3.11083, dn = +|- 0.147821, dEa = +|- 0.845345 kJ/mol",-6.922523080495657,0.0003184880082644054
rmg_rxn_16470,k_for (TST+T),35.187,cm^3/(mol*s),3.55875,-1.22736,kJ/mol,1.0 K,300.0 K,3000.0 K,1.17552,0.0210632,0.120454,"Fitted to 50 data points; dA = *|/ 1.17552, dn = +|- 0.0210632, dEa = +|- 0.120454 kJ/mol",1.5463822410044088,-1.3523225299635997
rmg_rxn_16714,k_for (TST+T),4.54792e-08,cm^3/(mol*s),5.56627,24.0887,kJ/mol,1.0 K,300.0 K,3000.0 K,3.35229,0.157558,0.901028,"Fitted to 50 data points; dA = *|/ 3.35229, dn = +|- 0.157558, dEa = +|- 0.901028 kJ/mol",-7.342187183356363,0.09376692617698501
rmg_rxn_15603,k_for (TST+T),9.32805e-08,cm^3/(mol*s),5.31165,39.7207,kJ/mol,1.0 K,300.0 K,3000.0 K,2.94951,0.140885,0.805681,"Fitted to 50 data points; dA = *|/ 2.94951, dn = +|- 0.140885, dEa = +|- 0.805681 kJ/mol",-7.030209134683486,0.5557126150101467
rmg_rxn_15595,k_for (TST+T),113056.0,cm^3/(mol*s),2.62556,17.5388,kJ/mol,1.0 K,300.0 K,3000.0 K,1.41509,0.0452226,0.258616,"Fitted to 50 data points; dA = *|/ 1.41509, dn = +|- 0.0452226, dEa = +|- 0.258616 kJ/mol",5.053293615754751,-0.1373735155629377
rmg_rxn_15582,k_for (TST+T),4.86268e-06,cm^3/(mol*s),4.94034,21.646,kJ/mol,1.0 K,300.0 K,3000.0 K,2.40748,0.114436,0.654428,"Fitted to 50 data points; dA = *|/ 2.40748, dn = +|- 0.114436, dEa = +|- 0.654428 kJ/mol",-5.313124309252894,0.011092824869360756
rmg_rxn_14055,k_for (TST+T),3.60806e-06,cm^3/(mol*s),4.81305,22.2689,kJ/mol,1.0 K,300.0 K,3000.0 K,2.21377,0.10351,0.591948,"Fitted to 50 data points; dA = *|/ 2.21377, dn = +|- 0.10351, dEa = +|- 0.591948 kJ/mol",-5.442726248998097,0.03253378097695708
rmg_rxn_16799,k_for (TST+T),0.000443319,cm^3/(mol*s),3.80899,-0.489405,kJ/mol,1.0 K,300.0 K,3000.0 K,1.16049,0.0193871,0.11087,"Fitted to 50 data points; dA = *|/ 1.16049, dn = +|- 0.0193871, dEa = +|- 0.11087 kJ/mol",-3.3532836550793528,-1.219758267474654
rmg_rxn_15409,k_for (TST+T),0.27368,cm^3/(mol*s),3.73474,2.4735,kJ/mol,1.0 K,300.0 K,3000.0 K,1.13488,0.0164802,0.0942454,"Fitted to 50 data points; dA = *|/ 1.13488, dn = +|- 0.0164802, dEa = +|- 0.0942454 kJ/mol",-0.5627569388229938,-0.8996298587815407
rmg_rxn_15443,k_for (TST+T),0.068472,cm^3/(mol*s),4.07121,8.32132,kJ/mol,1.0 K,300.0 K,3000.0 K,1.32024,0.0361857,0.206936,"Fitted to 50 data points; dA = *|/ 1.32024, dn = +|- 0.0361857, dEa = +|- 0.206936 kJ/mol",-1.1644869866313177,-0.5375789228040521
rmg_rxn_16706,k_for (TST+T),2.20848e-05,cm^3/(mol*s),4.99016,18.9666,kJ/mol,1.0 K,300.0 K,3000.0 K,2.26231,0.106336,0.608104,"Fitted to 50 data points; dA = *|/ 2.26231, dn = +|- 0.106336, dEa = +|- 0.608104 kJ/mol",-4.6559065293596165,-0.08425720919291342
rmg_rxn_15619,k_for (TST+T),2.076e-06,cm^3/(mol*s),4.71005,14.8154,kJ/mol,1.0 K,300.0 K,3000.0 K,1.99704,0.0900905,0.515203,"Fitted to 50 data points; dA = *|/ 1.99704, dn = +|- 0.0900905, dEa = +|- 0.515203 kJ/mol",-5.68277265082358,-0.24396655440837878
rmg_rxn_15590,k_for (TST+T),0.00171491,cm^3/(mol*s),4.08825,2.07941,kJ/mol,1.0 K,300.0 K,3000.0 K,1.26994,0.0311262,0.178002,"Fitted to 50 data points; dA = *|/ 1.26994, dn = +|- 0.0311262, dEa = +|- 0.178002 kJ/mol",-2.7657586671833103,-0.9316305275602553
rmg_rxn_16765,k_for (TST+T),0.412526,cm^3/(mol*s),4.02707,4.14826,kJ/mol,1.0 K,300.0 K,3000.0 K,1.52217,0.0547237,0.31295,"Fitted to 50 data points; dA = *|/ 1.52217, dn = +|- 0.0547237, dEa = +|- 0.31295 kJ/mol",-0.3845486742639078,-0.7786816967633616
rmg_rxn_14146,k_for (TST+T),80915.2,cm^3/(mol*s),2.84218,33.4451,kJ/mol,1.0 K,300.0 K,3000.0 K,1.04989,0.0063418,0.036267,"Fitted to 50 data points; dA = *|/ 1.04989, dn = +|- 0.0063418, dEa = +|- 0.036267 kJ/mol",4.908030111922012,0.38174643219973947
rmg_rxn_15715,k_for (TST+T),5.91131e-06,cm^3/(mol*s),4.84618,20.2591,kJ/mol,1.0 K,300.0 K,3000.0 K,2.21163,0.103384,0.591226,"Fitted to 50 data points; dA = *|/ 2.21163, dn = +|- 0.103384, dEa = +|- 0.591226 kJ/mol",-5.2283162648502035,-0.037601019769587456
rmg_rxn_15504,k_for (TST+T),0.226373,cm^3/(mol*s),4.01455,7.88193,kJ/mol,1.0 K,300.0 K,3000.0 K,1.2787,0.0320218,0.183124,"Fitted to 50 data points; dA = *|/ 1.2787, dn = +|- 0.0320218, dEa = +|- 0.183124 kJ/mol",-0.6451753736422178,-0.5603168238323035
rmg_rxn_14044,k_for (TST+T),4.70064e-07,cm^3/(mol*s),5.02823,30.377,kJ/mol,1.0 K,300.0 K,3000.0 K,2.58092,0.123497,0.706245,"Fitted to 50 data points; dA = *|/ 2.58092, dn = +|- 0.123497, dEa = +|- 0.706245 kJ/mol",-6.327843008118328,0.2916182039905223
rmg_rxn_13992,k_for (TST+T),3.58724e-05,cm^3/(mol*s),4.82926,21.2929,kJ/mol,1.0 K,300.0 K,3000.0 K,2.13767,0.0989536,0.565888,"Fitted to 50 data points; dA = *|/ 2.13767, dn = +|- 0.0989536, dEa = +|- 0.565888 kJ/mol",-4.445239566399343,-0.001176756026846188
rmg_rxn_15671,k_for (TST+T),1.16057e-06,cm^3/(mol*s),4.97875,25.2716,kJ/mol,1.0 K,300.0 K,3000.0 K,2.40354,0.114223,0.653208,"Fitted to 50 data points; dA = *|/ 2.40354, dn = +|- 0.114223, dEa = +|- 0.653208 kJ/mol",-5.935328659863897,0.13252315510441948
rmg_rxn_14073,k_for (TST+T),1.46709e-06,cm^3/(mol*s),4.77768,19.428,kJ/mol,1.0 K,300.0 K,3000.0 K,2.12839,0.0983875,0.562651,"Fitted to 50 data points; dA = *|/ 2.12839, dn = +|- 0.0983875, dEa = +|- 0.562651 kJ/mol",-5.833543243140734,-0.06745313602997433
rmg_rxn_13896,k_for (TST+T),0.196339,cm^3/(mol*s),3.89855,2.82407,kJ/mol,1.0 K,300.0 K,3000.0 K,1.18792,0.0224303,0.128273,"Fitted to 50 data points; dA = *|/ 1.18792, dn = +|- 0.0224303, dEa = +|- 0.128273 kJ/mol",-0.7069934252981831,-0.8724854591981942
rmg_rxn_16796,k_for (TST+T),6.46214e-05,cm^3/(mol*s),4.72113,21.8441,kJ/mol,1.0 K,300.0 K,3000.0 K,1.84951,0.0800939,0.458035,"Fitted to 50 data points; dA = *|/ 1.84951, dn = +|- 0.0800939, dEa = +|- 0.458035 kJ/mol",-4.189623637378597,0.017939528180315516
rmg_rxn_16525,k_for (TST+T),2.38309e-05,cm^3/(mol*s),4.48967,7.77506,kJ/mol,1.0 K,300.0 K,3000.0 K,1.6264,0.0633505,0.362284,"Fitted to 50 data points; dA = *|/ 1.6264, dn = +|- 0.0633505, dEa = +|- 0.362284 kJ/mol",-4.62285955573777,-0.5659216447534183
rmg_rxn_15679,k_for (TST+T),1.44993e-05,cm^3/(mol*s),4.47711,12.701,kJ/mol,1.0 K,300.0 K,3000.0 K,1.71762,0.0704578,0.402929,"Fitted to 50 data points; dA = *|/ 1.71762, dn = +|- 0.0704578, dEa = +|- 0.402929 kJ/mol",-4.838652964211621,-0.3324368713519314
rmg_rxn_15436,k_for (TST+T),22652.8,cm^3/(mol*s),2.77386,105.023,kJ/mol,1.0 K,300.0 K,3000.0 K,1.19593,0.0233046,0.133273,"Fitted to 50 data points; dA = *|/ 1.19593, dn = +|- 0.0233046, dEa = +|- 0.133273 kJ/mol",4.355121890648756,1.933663158862405
rmg_rxn_15395,k_for (TST+T),0.0196703,cm^3/(mol*s),4.02982,6.13648,kJ/mol,1.0 K,300.0 K,3000.0 K,1.27555,0.0316998,0.181282,"Fitted to 50 data points; dA = *|/ 1.27555, dn = +|- 0.0316998, dEa = +|- 0.181282 kJ/mol",-1.7061890164227564,-0.6559917238547113
rmg_rxn_16489,k_for (TST+T),0.00291667,cm^3/(mol*s),4.26379,2.20209,kJ/mol,1.0 K,300.0 K,3000.0 K,1.35476,0.0395471,0.226159,"Fitted to 50 data points; dA = *|/ 1.35476, dn = +|- 0.0395471, dEa = +|- 0.226159 kJ/mol",-2.5351127053610822,-0.9214847888994607
rmg_rxn_15426,k_for (TST+T),0.0840008,cm^3/(mol*s),3.48684,-3.99356,kJ/mol,1.0 K,300.0 K,3000.0 K,1.08591,0.0107355,0.0613935,"Fitted to 50 data points; dA = *|/ 1.08591, dn = +|- 0.0107355, dEa = +|- 0.0613935 kJ/mol",-1.0757165778198912,-2.0151154421649387
rmg_rxn_14050,k_for (TST+T),2.65712e-05,cm^3/(mol*s),4.54993,12.3147,kJ/mol,1.0 K,300.0 K,3000.0 K,1.77301,0.074592,0.426571,"Fitted to 50 data points; dA = *|/ 1.77301, dn = +|- 0.074592, dEa = +|- 0.426571 kJ/mol",-4.57558883167892,-0.349234582805689
rmg_rxn_15434,k_for (TST+T),0.00126134,cm^3/(mol*s),4.54352,20.0374,kJ/mol,1.0 K,300.0 K,3000.0 K,1.75926,0.0735779,0.420771,"Fitted to 50 data points; dA = *|/ 1.75926, dn = +|- 0.0735779, dEa = +|- 0.420771 kJ/mol",-2.8991678315705935,-0.04551314609610654
rmg_rxn_16516,k_for (TST+T),4.20368e-10,cm^3/(mol*s),6.24722,156.406,kJ/mol,1.0 K,300.0 K,3000.0 K,12.3126,0.327012,1.87009,"Fitted to 50 data points; dA = *|/ 12.3126, dn = +|- 0.327012, dEa = +|- 1.87009 kJ/mol",-9.376370351521935,2.75606276947323
rmg_rxn_16523,k_for (TST+T),1.986e-05,cm^3/(mol*s),4.54396,8.36323,kJ/mol,1.0 K,300.0 K,3000.0 K,1.6608,0.066076,0.377871,"Fitted to 50 data points; dA = *|/ 1.6608, dn = +|- 0.066076, dEa = +|- 0.377871 kJ/mol",-4.702020755840637,-0.5354350594795647
rmg_rxn_13898,k_for (TST+T),4.93509e-05,cm^3/(mol*s),4.64836,22.5523,kJ/mol,1.0 K,300.0 K,3000.0 K,2.02492,0.0918963,0.525529,"Fitted to 50 data points; dA = *|/ 2.02492, dn = +|- 0.0918963, dEa = +|- 0.525529 kJ/mol",-4.306704922802457,0.04220493363666032
rmg_rxn_15651,k_for (TST+T),0.00281326,cm^3/(mol*s),3.93008,0.642462,kJ/mol,1.0 K,300.0 K,3000.0 K,1.14595,0.0177443,0.101475,"Fitted to 50 data points; dA = *|/ 1.14595, dn = +|- 0.0177443, dEa = +|- 0.101475 kJ/mol",-2.5507901287138286,-1.0677623651942272
rmg_rxn_15618,k_for (TST+T),6.57833e-06,cm^3/(mol*s),4.80359,18.3779,kJ/mol,1.0 K,300.0 K,3000.0 K,2.11793,0.0977454,0.558979,"Fitted to 50 data points; dA = *|/ 2.11793, dn = +|- 0.0977454, dEa = +|- 0.558979 kJ/mol",-5.1818843440512605,-0.10594803291831487
rmg_rxn_16803,k_for (TST+T),0.0827276,cm^3/(mol*s),3.19926,92.0742,kJ/mol,1.0 K,300.0 K,3000.0 K,1.31769,0.0359335,0.205494,"Fitted to 50 data points; dA = *|/ 1.31769, dn = +|- 0.0359335, dEa = +|- 0.205494 kJ/mol",-1.0823495747524696,1.7000501292800785
rmg_rxn_15728,k_for (TST+T),8.99264e-06,cm^3/(mol*s),4.8944,18.3325,kJ/mol,1.0 K,300.0 K,3000.0 K,2.27237,0.106913,0.611406,"Fitted to 50 data points; dA = *|/ 2.27237, dn = +|- 0.106913, dEa = +|- 0.611406 kJ/mol",-5.046112792235704,-0.10763278903378175
rmg_rxn_16653,k_for (TST+T),2.16433e-06,cm^3/(mol*s),5.11828,4.0861,kJ/mol,1.0 K,300.0 K,3000.0 K,2.03274,0.0923983,0.5284,"Fitted to 50 data points; dA = *|/ 2.03274, dn = +|- 0.0923983, dEa = +|- 0.5284 kJ/mol",-5.664676520713095,-0.7828273027340054
rmg_rxn_15579,k_for (TST+T),0.00302255,cm^3/(mol*s),4.05016,11.3093,kJ/mol,1.0 K,300.0 K,3000.0 K,1.35346,0.0394227,0.225447,"Fitted to 50 data points; dA = *|/ 1.35346, dn = +|- 0.0394227, dEa = +|- 0.225447 kJ/mol",-2.519626506167939,-0.39399015804180293
rmg_rxn_15405,k_for (TST+T),0.000364508,cm^3/(mol*s),4.49194,12.7901,kJ/mol,1.0 K,300.0 K,3000.0 K,1.63939,0.0643864,0.368208,"Fitted to 50 data points; dA = *|/ 1.63939, dn = +|- 0.0643864, dEa = +|- 0.368208 kJ/mol",-3.438292935610126,-0.32859222969766355
rmg_rxn_15723,k_for (TST+T),9.69563e-05,cm^3/(mol*s),4.35339,7.39663,kJ/mol,1.0 K,300.0 K,3000.0 K,1.50304,0.0530762,0.303528,"Fitted to 50 data points; dA = *|/ 1.50304, dn = +|- 0.0530762, dEa = +|- 0.303528 kJ/mol",-4.013423966200101,-0.5860146832742675
rmg_rxn_14123,k_for (TST+T),5.12245e-09,cm^3/(mol*s),5.51767,19.4785,kJ/mol,1.0 K,300.0 K,3000.0 K,3.24273,0.15323,0.876278,"Fitted to 50 data points; dA = *|/ 3.24273, dn = +|- 0.15323, dEa = +|- 0.876278 kJ/mol",-8.29052227203464,-0.0656241411249117
rmg_rxn_15637,k_for (TST+T),1.42692e-07,cm^3/(mol*s),4.99533,22.7641,kJ/mol,1.0 K,300.0 K,3000.0 K,2.47021,0.117787,0.673589,"Fitted to 50 data points; dA = *|/ 2.47021, dn = +|- 0.117787, dEa = +|- 0.673589 kJ/mol",-6.845600374840839,0.04939926071804564
rmg_rxn_15515,k_for (TST+T),0.0224943,cm^3/(mol*s),3.78905,-2.16267,kJ/mol,1.0 K,300.0 K,3000.0 K,1.11963,0.0147181,0.0841688,"Fitted to 50 data points; dA = *|/ 1.11963, dn = +|- 0.0147181, dEa = +|- 0.0841688 kJ/mol",-1.647927517095768,-1.5503172367123037
rmg_rxn_15466,k_for (TST+T),0.000355527,cm^3/(mol*s),4.46458,11.6837,kJ/mol,1.0 K,300.0 K,3000.0 K,1.61226,0.0622126,0.355777,"Fitted to 50 data points; dA = *|/ 1.61226, dn = +|- 0.0622126, dEa = +|- 0.355777 kJ/mol",-3.4491274117956925,-0.3771418904886824
