rxn,direction,E0_total,E0_TS0,delta_E0
rmg_rxn_1366,reverse,-1221473.0,-1221480.0,-7.0
rmg_rxn_13846,forward,-823286.0,-823251.0,35.0
rmg_rxn_13846,reverse,-823330.0,-823251.0,79.0
rmg_rxn_13847,forward,-823271.0,-823239.0,32.0
rmg_rxn_13847,reverse,-823330.0,-823239.0,91.0
rmg_rxn_13853,forward,-1215096.0,-1215070.0,26.0
rmg_rxn_13853,reverse,-1215154.0,-1215070.0,84.0
rmg_rxn_13854,forward,-1215118.0,-1215080.0,38.0
rmg_rxn_13854,reverse,-1215154.0,-1215080.0,74.0
rmg_rxn_13855,forward,-1215120.0,-1215090.0,30.0
rmg_rxn_13855,reverse,-1215154.0,-1215090.0,64.0
rmg_rxn_13856,forward,-1456194.0,-1456200.0,-6.0
rmg_rxn_13856,reverse,-1456213.0,-1456200.0,13.0
rmg_rxn_13857,forward,-1868774.0,-1868730.0,44.0
rmg_rxn_13857,reverse,-1868793.0,-1868730.0,63.0
rmg_rxn_13858,forward,-1868744.0,-1868700.0,44.0
rmg_rxn_13858,reverse,-1868793.0,-1868700.0,93.0
rmg_rxn_13859,forward,-956498.0,-956442.0,56.0
rmg_rxn_13859,reverse,-956584.0,-956442.0,142.0
rmg_rxn_13866,forward,-947701.0,-947653.0,48.0
rmg_rxn_13866,reverse,-947750.0,-947653.0,97.0
rmg_rxn_13867,forward,-512040.0,-512026.0,14.0
rmg_rxn_13867,reverse,-512142.0,-512026.0,116.0
rmg_rxn_13876,forward,-718363.0,,
rmg_rxn_13876,reverse,-407625.0,,
rmg_rxn_13881,forward,-1662474.0,-1662430.0,44.0
rmg_rxn_13881,reverse,-1662503.0,-1662430.0,73.0
rmg_rxn_13882,forward,-1662444.0,-1662410.0,34.0
rmg_rxn_13882,reverse,-1662503.0,-1662410.0,93.0
rmg_rxn_13885,forward,-956559.0,-956494.0,65.0
rmg_rxn_13885,reverse,-956584.0,-956494.0,90.0
rmg_rxn_13886,forward,-956559.0,-956480.0,79.0
rmg_rxn_13886,reverse,-956559.0,-956480.0,79.0
rmg_rxn_13887,forward,-917604.0,-917587.0,17.0
rmg_rxn_13887,reverse,-917664.0,-917587.0,77.0
rmg_rxn_13889,forward,-917634.0,-917594.0,40.0
rmg_rxn_13889,reverse,-917664.0,-917594.0,70.0
rmg_rxn_13895,forward,-716905.0,-716887.0,18.0
rmg_rxn_13895,reverse,-716988.0,-716887.0,101.0
rmg_rxn_13896,forward,-716886.0,-716873.0,13.0
rmg_rxn_13896,reverse,-716988.0,-716873.0,115.0
rmg_rxn_13898,forward,-814487.0,-814444.0,43.0
rmg_rxn_13898,reverse,-814514.0,-814444.0,70.0
rmg_rxn_13899,forward,-814452.0,-814425.0,27.0
rmg_rxn_13899,reverse,-814514.0,-814425.0,89.0
rmg_rxn_13900,forward,-803837.0,-803839.0,-2.0
rmg_rxn_13900,reverse,-804002.0,-803839.0,163.0
rmg_rxn_13907,forward,-1765624.0,-1765580.0,44.0
rmg_rxn_13907,reverse,-1765643.0,-1765580.0,63.0
rmg_rxn_13911,forward,-853341.0,-853273.0,68.0
rmg_rxn_13911,reverse,-853419.0,-853273.0,146.0
rmg_rxn_13915,forward,-1020732.0,-1020700.0,32.0
rmg_rxn_13915,reverse,-1020782.0,-1020700.0,82.0
rmg_rxn_13918,forward,-1020752.0,,
rmg_rxn_13918,reverse,-1020788.0,,
rmg_rxn_13923,forward,-652603.0,-652708.0,-105.0
rmg_rxn_13923,reverse,-652866.0,-652708.0,158.0
rmg_rxn_13933,forward,-914535.0,-914474.0,61.0
rmg_rxn_13933,reverse,-914543.0,-914474.0,69.0
rmg_rxn_13935,forward,-1215110.0,,
rmg_rxn_13935,reverse,-1215148.0,,
rmg_rxn_13936,forward,-1215043.0,-1215030.0,13.0
rmg_rxn_13936,reverse,-1215104.0,-1215030.0,74.0
rmg_rxn_13937,forward,-1215175.0,-1215150.0,25.0
rmg_rxn_13937,reverse,-1215238.0,-1215150.0,88.0
rmg_rxn_13938,forward,-956452.0,-956393.0,59.0
rmg_rxn_13938,reverse,-956473.0,-956393.0,80.0
rmg_rxn_13961,forward,-608130.0,-608132.0,-2.0
rmg_rxn_13961,reverse,-608254.0,-608132.0,122.0
rmg_rxn_13971,forward,-801209.0,-801129.0,80.0
rmg_rxn_13971,reverse,-801213.0,-801129.0,84.0
rmg_rxn_13973,forward,-655978.0,-655923.0,55.0
rmg_rxn_13973,reverse,-655978.0,-655923.0,55.0
rmg_rxn_13979,forward,-1215048.0,,
rmg_rxn_13979,reverse,-1215090.0,,
rmg_rxn_13981,forward,-1007540.0,-1007480.0,60.0
rmg_rxn_13981,reverse,-1007566.0,-1007480.0,86.0
rmg_rxn_13982,forward,-820063.0,-820048.0,15.0
rmg_rxn_13982,reverse,-820150.0,-820048.0,102.0
rmg_rxn_13983,forward,-823286.0,-823245.0,41.0
rmg_rxn_13983,reverse,-823316.0,-823245.0,71.0
rmg_rxn_13984,forward,-823271.0,-823236.0,35.0
