rxn,direction,E0_total,E0_TS0,delta_E0
rmg_rxn_16690,reverse,-949657.0,-949637.0,20.0
rmg_rxn_16693,forward,-940700.0,-940730.0,-30.0
rmg_rxn_16693,reverse,-940794.0,-940730.0,64.0
rmg_rxn_16694,forward,-940675.0,-940712.0,-37.0
rmg_rxn_16694,reverse,-940794.0,-940712.0,82.0
rmg_rxn_16698,forward,-692378.0,-692448.0,-70.0
rmg_rxn_16698,reverse,-692578.0,-692448.0,130.0
rmg_rxn_16699,forward,-898727.0,-898736.0,-9.0
rmg_rxn_16699,reverse,-898813.0,-898736.0,77.0
rmg_rxn_16700,forward,-898727.0,-898721.0,6.0
rmg_rxn_16700,reverse,-898798.0,-898721.0,77.0
rmg_rxn_16705,forward,-949656.0,-949567.0,89.0
rmg_rxn_16705,reverse,-949657.0,-949567.0,90.0
rmg_rxn_16706,forward,-949631.0,-949591.0,40.0
rmg_rxn_16706,reverse,-949657.0,-949591.0,66.0
rmg_rxn_16713,forward,-743439.0,-743430.0,9.0
rmg_rxn_16713,reverse,-743542.0,-743430.0,112.0
rmg_rxn_16714,forward,-743439.0,-743385.0,54.0
rmg_rxn_16714,reverse,-743452.0,-743385.0,67.0
rmg_rxn_16719,forward,-598217.0,-598180.0,37.0
rmg_rxn_16719,reverse,-598208.0,-598180.0,28.0
rmg_rxn_16721,forward,-889579.0,-889583.0,-4.0
rmg_rxn_16721,reverse,-889657.0,-889583.0,74.0
rmg_rxn_16731,forward,-1157280.0,-1157260.0,20.0
rmg_rxn_16731,reverse,-1157314.0,-1157260.0,54.0
rmg_rxn_16735,forward,-949770.0,-949733.0,37.0
rmg_rxn_16735,reverse,-949805.0,-949733.0,72.0
rmg_rxn_16737,forward,-762302.0,-762301.0,1.0
rmg_rxn_16737,reverse,-762380.0,-762301.0,79.0
rmg_rxn_16738,forward,-762355.0,-762289.0,66.0
rmg_rxn_16738,reverse,-762302.0,-762289.0,13.0
rmg_rxn_16741,forward,-456052.0,-456032.0,20.0
rmg_rxn_16741,reverse,-456120.0,-456032.0,88.0
rmg_rxn_16743,forward,-837749.0,-837733.0,16.0
rmg_rxn_16743,reverse,-837795.0,-837733.0,62.0
rmg_rxn_16745,forward,-837724.0,-837726.0,-2.0
rmg_rxn_16745,reverse,-837795.0,-837726.0,69.0
rmg_rxn_16751,forward,-1053982.0,-1053980.0,2.0
rmg_rxn_16751,reverse,-1054011.0,-1053980.0,31.0
rmg_rxn_16755,forward,-1208165.0,-1208160.0,5.0
rmg_rxn_16755,reverse,-1208205.0,-1208160.0,45.0
rmg_rxn_16765,forward,-496499.0,-496475.0,24.0
rmg_rxn_16765,reverse,-496518.0,-496475.0,43.0
rmg_rxn_16769,forward,-795574.0,-795595.0,-21.0
rmg_rxn_16769,reverse,-795658.0,-795595.0,63.0
rmg_rxn_16771,forward,-704501.0,-704484.0,17.0
rmg_rxn_16771,reverse,-704540.0,-704484.0,56.0
rmg_rxn_16772,forward,-704534.0,-704499.0,35.0
rmg_rxn_16772,reverse,-704540.0,-704499.0,41.0
rmg_rxn_16773,forward,-704478.0,-704406.0,72.0
rmg_rxn_16773,reverse,-704433.0,-704406.0,27.0
rmg_rxn_16774,forward,-704497.0,-704449.0,48.0
rmg_rxn_16774,reverse,-704493.0,-704449.0,44.0
rmg_rxn_16776,forward,-704478.0,-704396.0,82.0
rmg_rxn_16776,reverse,-704493.0,-704396.0,97.0
rmg_rxn_16778,forward,-795445.0,-795507.0,-62.0
rmg_rxn_16778,reverse,-795508.0,-795507.0,1.0
rmg_rxn_16779,forward,-795568.0,-795592.0,-24.0
rmg_rxn_16779,reverse,-795594.0,-795592.0,2.0
rmg_rxn_16785,forward,-352852.75,-352836.0,16.75
rmg_rxn_16785,reverse,-352814.07,-352836.0,-21.929999999993015
rmg_rxn_16786,forward,-352852.75,-352802.0,50.75
rmg_rxn_16786,reverse,-352874.07,-352802.0,72.07000000000698
rmg_rxn_16791,forward,-349752.0,,
rmg_rxn_16791,reverse,-351533.0,,
rmg_rxn_16795,forward,-559207.0,-559165.0,42.0
rmg_rxn_16795,reverse,-559156.0,-559165.0,-9.0
rmg_rxn_16796,forward,-559216.0,-559171.0,45.0
rmg_rxn_16796,reverse,-559207.0,-559171.0,36.0
rmg_rxn_16797,forward,-640174.0,-640274.0,-100.0
rmg_rxn_16797,reverse,-640302.0,-640274.0,28.0
rmg_rxn_16799,forward,-1268550.0,-1268540.0,10.0
rmg_rxn_16799,reverse,-1268698.0,-1268540.0,158.0
rmg_rxn_16800,forward,-1268610.0,-1268550.0,60.0
rmg_rxn_16800,reverse,-1268698.0,-1268550.0,148.0
rmg_rxn_16801,forward,-643345.0,-643348.0,-3.0
rmg_rxn_16801,reverse,-643447.0,-643348.0,99.0
rmg_rxn_16802,forward,-643405.0,-643351.0,54.0
rmg_rxn_16802,reverse,-643447.0,-643351.0,96.0
rmg_rxn_16803,forward,-759134.0,-759024.0,110.0
rmg_rxn_16803,reverse,-759043.0,-759024.0,19.0
rmg_rxn_16804,forward,-759043.0,-759040.0,3.0
rmg_rxn_16804,reverse,-759149.0,-759040.0,109.0
rmg_rxn_16805,forward,-759135.0,-759062.0,73.0
rmg_rxn_16805,reverse,-759043.0,-759062.0,-19.0
rmg_rxn_16806,forward,-759103.0,-759059.0,44.0
rmg_rxn_16806,reverse,-759134.0,-759059.0,75.0
rmg_rxn_16807,forward,-759103.0,-759034.0,69.0
rmg_rxn_16807,reverse,-759149.0,-759034.0,115.0
rmg_rxn_16808,forward,-759103.0,-759076.0,27.0
rmg_rxn_16808,reverse,-759135.0,-759076.0,59.0
rmg_rxn_16809,forward,-1268670.0,,
rmg_rxn_16809,reverse,-1268728.0,,
rmg_rxn_169,forward,-857944.0,,
rmg_rxn_169,reverse,-547147.0,,
rmg_rxn_171,forward,-900113.0,-900099.0,14.0
rmg_rxn_171,reverse,-900176.0,-900099.0,77.0
rmg_rxn_172,forward,-956450.0,-956411.0,39.0
rmg_rxn_172,reverse,-956498.0,-956411.0,87.0
rmg_rxn_173,forward,-1802025.0,-1802020.0,5.0
rmg_rxn_173,reverse,-1802085.0,-1802020.0,65.0
rmg_rxn_174,forward,-1096081.0,-1096060.0,21.0
rmg_rxn_174,reverse,-1096165.0,-1096060.0,105.0
rmg_rxn_175,forward,-1096020.0,-1095990.0,30.0
rmg_rxn_175,reverse,-1096165.0,-1095990.0,175.0
rmg_rxn_176,forward,-2008325.0,-2008270.0,55.0
rmg_rxn_176,reverse,-2008315.0,-2008270.0,45.0
rmg_rxn_177,forward,-962852.0,-962809.0,43.0
rmg_rxn_177,reverse,-962867.0,-962809.0,58.0
rmg_rxn_178,forward,-962852.0,-962799.0,53.0
rmg_rxn_178,reverse,-962852.0,-962799.0,53.0
rmg_rxn_179,forward,-1354676.0,-1354640.0,36.0
rmg_rxn_179,reverse,-1354701.0,-1354640.0,61.0
rmg_rxn_180,forward,-2008315.0,-2008290.0,25.0
rmg_rxn_180,reverse,-2008355.0,-2008290.0,65.0
rmg_rxn_182,forward,-1595735.0,-1595730.0,5.0
rmg_rxn_182,reverse,-1595775.0,-1595730.0,45.0
rmg_rxn_183,forward,-895579.0,-895532.0,47.0
rmg_rxn_183,reverse,-895602.0,-895532.0,70.0
rmg_rxn_187,forward,-1263463.0,-1263410.0,53.0
rmg_rxn_187,reverse,-1263467.0,-1263410.0,57.0
rmg_rxn_188,forward,-1116601.0,,
rmg_rxn_188,reverse,-805806.0,,
rmg_rxn_189,forward,-1097757.0,-1097740.0,17.0
rmg_rxn_189,reverse,-1097822.0,-1097740.0,82.0
rmg_rxn_19,forward,-2714330.0,-2714320.0,10.0
rmg_rxn_19,reverse,-2714380.0,-2714320.0,60.0
rmg_rxn_190,forward,-1158770.0,-1158760.0,10.0
rmg_rxn_190,reverse,-1158832.0,-1158760.0,72.0
rmg_rxn_191,forward,-1215107.0,-1215070.0,37.0
rmg_rxn_191,reverse,-1215154.0,-1215070.0,84.0
rmg_rxn_192,forward,-2060682.0,-2060680.0,2.0
rmg_rxn_192,reverse,-2060741.0,-2060680.0,61.0
rmg_rxn_193,forward,-1354738.0,-1354720.0,18.0
rmg_rxn_193,reverse,-1354821.0,-1354720.0,101.0
rmg_rxn_194,forward,-1354677.0,-1354660.0,17.0
rmg_rxn_194,reverse,-1354821.0,-1354660.0,161.0
rmg_rxn_195,forward,-2266981.0,-2266930.0,51.0
rmg_rxn_195,reverse,-2266972.0,-2266930.0,42.0
rmg_rxn_196,forward,-1221509.0,-1221470.0,39.0
rmg_rxn_196,reverse,-1221523.0,-1221470.0,53.0
rmg_rxn_197,forward,-1221508.0,-1221460.0,48.0
rmg_rxn_197,reverse,-1221509.0,-1221460.0,49.0
rmg_rxn_198,forward,-1613333.0,-1613300.0,33.0
rmg_rxn_198,reverse,-1613357.0,-1613300.0,57.0
rmg_rxn_1985,forward,-1595797.0,-1595810.0,-13.0
rmg_rxn_1985,reverse,-1595880.0,-1595810.0,70.0
rmg_rxn_1988,forward,-1096165.0,-1096090.0,75.0
rmg_rxn_1988,reverse,-1096187.0,-1096090.0,97.0
rmg_rxn_199,forward,-2266972.0,-2266940.0,32.0
rmg_rxn_199,reverse,-2267011.0,-2266940.0,71.0
rmg_rxn_2,forward,-643259.0,-643234.0,25.0
rmg_rxn_2,reverse,-643256.0,-643234.0,22.0
rmg_rxn_20,forward,-2008325.0,-2008300.0,25.0
rmg_rxn_20,reverse,-2008460.0,-2008300.0,160.0
rmg_rxn_2002,forward,-1096187.0,-1096170.0,17.0
rmg_rxn_2002,reverse,-1096226.0,-1096170.0,56.0
rmg_rxn_2006,forward,-548899.0,,
rmg_rxn_2006,reverse,-954185.0,,
rmg_rxn_2007,forward,-943504.0,-943513.0,-9.0
rmg_rxn_2007,reverse,-943605.0,-943513.0,92.0
rmg_rxn_201,forward,-1154236.0,-1154190.0,46.0
rmg_rxn_201,reverse,-1154258.0,-1154190.0,68.0
rmg_rxn_2010,forward,-548899.0,,
rmg_rxn_2010,reverse,-859852.0,,
rmg_rxn_2013,forward,-993008.0,-992922.0,86.0
rmg_rxn_2013,reverse,-993022.0,-992922.0,100.0
rmg_rxn_2014,forward,-1160332.0,-1160350.0,-18.0
rmg_rxn_2014,reverse,-1160462.0,-1160350.0,112.0
rmg_rxn_2024,forward,-837633.0,-837648.0,-15.0
rmg_rxn_2024,reverse,-837760.0,-837648.0,112.0
rmg_rxn_2026,forward,-1354646.0,-1354700.0,-54.0
rmg_rxn_2026,reverse,-1354771.0,-1354700.0,71.0
rmg_rxn_2028,forward,-1035159.0,-1035110.0,49.0
rmg_rxn_2028,reverse,-1035199.0,-1035110.0,89.0
rmg_rxn_205,forward,-1522119.0,-1522070.0,49.0
rmg_rxn_205,reverse,-1522124.0,-1522070.0,54.0
rmg_rxn_206,forward,-1354676.0,-1354620.0,56.0
rmg_rxn_206,reverse,-1354677.0,-1354620.0,57.0
rmg_rxn_207,forward,-1025393.0,,
rmg_rxn_207,reverse,-714607.0,,
rmg_rxn_208,forward,-1006557.0,-1006540.0,17.0
rmg_rxn_208,reverse,-1006613.0,-1006540.0,73.0
rmg_rxn_209,forward,-1067570.0,-1067560.0,10.0
rmg_rxn_209,reverse,-1067623.0,-1067560.0,63.0
rmg_rxn_21,forward,-724777.0,,
rmg_rxn_21,reverse,-413995.0,,
rmg_rxn_211,forward,-1969482.0,-1969490.0,-8.0
rmg_rxn_211,reverse,-1969532.0,-1969490.0,42.0
rmg_rxn_212,forward,-1263538.0,-1263520.0,18.0
rmg_rxn_212,reverse,-1263612.0,-1263520.0,92.0
rmg_rxn_213,forward,-1263477.0,-1263460.0,17.0
rmg_rxn_213,reverse,-1263612.0,-1263460.0,152.0
rmg_rxn_214,forward,-2175772.0,-2175720.0,52.0
rmg_rxn_214,reverse,-2175772.0,-2175720.0,52.0
rmg_rxn_215,forward,-1130309.0,-1130270.0,39.0
rmg_rxn_215,reverse,-1130314.0,-1130270.0,44.0
rmg_rxn_216,forward,-1130299.0,-1130250.0,49.0
rmg_rxn_216,reverse,-1130309.0,-1130250.0,59.0
rmg_rxn_217,forward,-1522133.0,-1522100.0,33.0
rmg_rxn_217,reverse,-1522148.0,-1522100.0,48.0
rmg_rxn_218,forward,-2175772.0,-2175740.0,32.0
rmg_rxn_218,reverse,-2175802.0,-2175740.0,62.0
rmg_rxn_219,forward,-1763192.0,-1763190.0,2.0
rmg_rxn_219,reverse,-1763222.0,-1763190.0,32.0
rmg_rxn_22,forward,-705947.0,-705932.0,15.0
rmg_rxn_22,reverse,-705998.0,-705932.0,66.0
rmg_rxn_220,forward,-1063036.0,-1062990.0,46.0
rmg_rxn_220,reverse,-1063049.0,-1062990.0,59.0
rmg_rxn_224,forward,-1430910.0,-1430860.0,50.0
rmg_rxn_224,reverse,-1430924.0,-1430860.0,64.0
rmg_rxn_225,forward,-1263467.0,-1263420.0,47.0
rmg_rxn_225,reverse,-1263477.0,-1263420.0,57.0
rmg_rxn_226,forward,-1522133.0,-1522080.0,53.0
rmg_rxn_226,reverse,-1522124.0,-1522080.0,44.0
rmg_rxn_227,forward,-1025393.0,,
rmg_rxn_227,reverse,-714595.0,,
rmg_rxn_228,forward,-1006545.0,-1006550.0,-5.0
rmg_rxn_228,reverse,-1006613.0,-1006550.0,63.0
rmg_rxn_229,forward,-1067558.0,-1067550.0,8.0
rmg_rxn_229,reverse,-1067623.0,-1067550.0,73.0
rmg_rxn_23,forward,-766960.0,-766945.0,15.0
rmg_rxn_23,reverse,-767008.0,-766945.0,63.0
rmg_rxn_230,forward,-1123895.0,-1123860.0,35.0
rmg_rxn_230,reverse,-1123945.0,-1123860.0,85.0
rmg_rxn_231,forward,-1969470.0,-1969480.0,-10.0
rmg_rxn_231,reverse,-1969532.0,-1969480.0,52.0
rmg_rxn_232,forward,-1263526.0,-1263510.0,16.0
rmg_rxn_232,reverse,-1263612.0,-1263510.0,102.0
rmg_rxn_233,forward,-1263465.0,-1263450.0,15.0
rmg_rxn_233,reverse,-1263612.0,-1263450.0,162.0
rmg_rxn_234,forward,-2175772.0,-2175720.0,52.0
rmg_rxn_234,reverse,-2175760.0,-2175720.0,40.0
rmg_rxn_235,forward,-1130297.0,-1130260.0,37.0
rmg_rxn_235,reverse,-1130314.0,-1130260.0,54.0
rmg_rxn_236,forward,-1130297.0,-1130250.0,47.0
rmg_rxn_236,reverse,-1130299.0,-1130250.0,49.0
rmg_rxn_237,forward,-1522121.0,-1522090.0,31.0
rmg_rxn_237,reverse,-1522148.0,-1522090.0,58.0
rmg_rxn_238,forward,-2175760.0,-2175730.0,30.0
rmg_rxn_238,reverse,-2175802.0,-2175730.0,72.0
rmg_rxn_239,forward,-1763180.0,-1763180.0,0.0
rmg_rxn_239,reverse,-1763222.0,-1763180.0,42.0
rmg_rxn_24,forward,-823297.0,-823259.0,38.0
rmg_rxn_24,reverse,-823330.0,-823259.0,71.0
rmg_rxn_240,forward,-1063024.0,-1062990.0,34.0
rmg_rxn_240,reverse,-1063049.0,-1062990.0,59.0
rmg_rxn_244,forward,-1430910.0,-1430860.0,50.0
rmg_rxn_244,reverse,-1430912.0,-1430860.0,52.0
rmg_rxn_245,forward,-1263465.0,-1263410.0,55.0
rmg_rxn_245,reverse,-1263467.0,-1263410.0,57.0
rmg_rxn_246,forward,-1522121.0,-1522070.0,51.0
rmg_rxn_246,reverse,-1522124.0,-1522070.0,54.0
rmg_rxn_247,forward,-1430912.0,-1430870.0,42.0
rmg_rxn_247,reverse,-1430924.0,-1430870.0,54.0
rmg_rxn_248,forward,-1116601.0,,
rmg_rxn_248,reverse,-805827.0,,
rmg_rxn_25,forward,-1668872.0,-1668870.0,2.0
rmg_rxn_25,reverse,-1668917.0,-1668870.0,47.0
rmg_rxn_251,forward,-1215129.0,-1215080.0,49.0
rmg_rxn_251,reverse,-1215154.0,-1215080.0,74.0
rmg_rxn_252,forward,-2060704.0,-2060700.0,4.0
rmg_rxn_252,reverse,-2060741.0,-2060700.0,41.0
rmg_rxn_253,forward,-1354760.0,-1354720.0,40.0
rmg_rxn_253,reverse,-1354821.0,-1354720.0,101.0
rmg_rxn_254,forward,-1354699.0,-1354670.0,29.0
rmg_rxn_254,reverse,-1354821.0,-1354670.0,151.0
rmg_rxn_255,forward,-2266981.0,-2266930.0,51.0
rmg_rxn_255,reverse,-2266994.0,-2266930.0,64.0
rmg_rxn_256,forward,-1221523.0,-1221470.0,53.0
rmg_rxn_256,reverse,-1221531.0,-1221470.0,61.0
rmg_rxn_257,forward,-1221508.0,-1221460.0,48.0
rmg_rxn_257,reverse,-1221531.0,-1221460.0,71.0
rmg_rxn_258,forward,-1613357.0,-1613290.0,67.0
rmg_rxn_258,reverse,-1613355.0,-1613290.0,65.0
rmg_rxn_259,forward,-2266994.0,-2266940.0,54.0
rmg_rxn_259,reverse,-2267011.0,-2266940.0,71.0
rmg_rxn_26,forward,-962867.0,-962854.0,13.0
rmg_rxn_26,reverse,-962997.0,-962854.0,143.0
rmg_rxn_260,forward,-1854414.0,-1854400.0,14.0
rmg_rxn_260,reverse,-1854431.0,-1854400.0,31.0
rmg_rxn_265,forward,-1522119.0,-1522070.0,49.0
rmg_rxn_265,reverse,-1522146.0,-1522070.0,76.0
rmg_rxn_266,forward,-1354676.0,-1354630.0,46.0
rmg_rxn_266,reverse,-1354699.0,-1354630.0,69.0
rmg_rxn_267,forward,-1613333.0,-1613290.0,43.0
rmg_rxn_267,reverse,-1613355.0,-1613290.0,65.0
rmg_rxn_268,forward,-1522133.0,-1522090.0,43.0
rmg_rxn_268,reverse,-1522146.0,-1522090.0,56.0
rmg_rxn_269,forward,-1522121.0,-1522080.0,41.0
rmg_rxn_269,reverse,-1522146.0,-1522080.0,66.0
rmg_rxn_27,forward,-1875157.0,-1875110.0,47.0
rmg_rxn_27,reverse,-1875162.0,-1875110.0,52.0
rmg_rxn_270,forward,-1025393.0,,
rmg_rxn_270,reverse,-714627.0,,
rmg_rxn_271,forward,-1006577.0,-1006570.0,7.0
rmg_rxn_271,reverse,-1006613.0,-1006570.0,43.0
rmg_rxn_272,forward,-1067590.0,-1067570.0,20.0
rmg_rxn_272,reverse,-1067623.0,-1067570.0,53.0
rmg_rxn_273,forward,-1123927.0,-1123880.0,47.0
rmg_rxn_273,reverse,-1123945.0,-1123880.0,65.0
rmg_rxn_274,forward,-1969502.0,-1969510.0,-8.0
rmg_rxn_274,reverse,-1969532.0,-1969510.0,22.0
rmg_rxn_275,forward,-1263558.0,-1263540.0,18.0
rmg_rxn_275,reverse,-1263612.0,-1263540.0,72.0
rmg_rxn_276,forward,-1263497.0,-1263490.0,7.0
rmg_rxn_276,reverse,-1263612.0,-1263490.0,122.0
rmg_rxn_277,forward,-2175772.0,-2175730.0,42.0
rmg_rxn_277,reverse,-2175792.0,-2175730.0,62.0
rmg_rxn_278,forward,-1130314.0,-1130280.0,34.0
rmg_rxn_278,reverse,-1130329.0,-1130280.0,49.0
rmg_rxn_279,forward,-1130299.0,-1130270.0,29.0
rmg_rxn_279,reverse,-1130329.0,-1130270.0,59.0
rmg_rxn_28,forward,-724777.0,,
rmg_rxn_28,reverse,-413980.0,,
rmg_rxn_280,forward,-1522148.0,-1522090.0,58.0
rmg_rxn_280,reverse,-1522153.0,-1522090.0,63.0
rmg_rxn_282,forward,-1763212.0,-1763220.0,-8.0
rmg_rxn_282,reverse,-1763222.0,-1763220.0,2.0
rmg_rxn_287,forward,-1430910.0,-1430880.0,30.0
rmg_rxn_287,reverse,-1430944.0,-1430880.0,64.0
rmg_rxn_288,forward,-1263467.0,-1263430.0,37.0
rmg_rxn_288,reverse,-1263497.0,-1263430.0,67.0
rmg_rxn_289,forward,-1522124.0,-1522090.0,34.0
rmg_rxn_289,reverse,-1522153.0,-1522090.0,63.0
rmg_rxn_29,forward,-705932.0,-705918.0,14.0
rmg_rxn_29,reverse,-705998.0,-705918.0,80.0
rmg_rxn_290,forward,-1430924.0,-1430890.0,34.0
rmg_rxn_290,reverse,-1430944.0,-1430890.0,54.0
rmg_rxn_291,forward,-1430912.0,-1430880.0,32.0
rmg_rxn_291,reverse,-1430944.0,-1430880.0,64.0
rmg_rxn_292,forward,-1522153.0,-1522100.0,53.0
rmg_rxn_292,reverse,-1522146.0,-1522100.0,46.0
rmg_rxn_293,forward,-819110.0,,
rmg_rxn_293,reverse,-508313.0,,
rmg_rxn_294,forward,-800265.0,-800273.0,-8.0
rmg_rxn_294,reverse,-800332.0,-800273.0,59.0
rmg_rxn_296,forward,-917615.0,-917600.0,15.0
rmg_rxn_296,reverse,-917664.0,-917600.0,64.0
rmg_rxn_297,forward,-1763190.0,-1763190.0,0.0
rmg_rxn_297,reverse,-1763251.0,-1763190.0,61.0
rmg_rxn_3,forward,-718374.0,,
rmg_rxn_3,reverse,-407625.0,,
rmg_rxn_30,forward,-766945.0,-766933.0,12.0
rmg_rxn_30,reverse,-767008.0,-766933.0,75.0
rmg_rxn_300,forward,-1969480.0,-1969450.0,30.0
rmg_rxn_300,reverse,-1969491.0,-1969450.0,41.0
rmg_rxn_301,forward,-924017.0,-924000.0,17.0
rmg_rxn_301,reverse,-924033.0,-924000.0,33.0
rmg_rxn_302,forward,-924017.0,-923988.0,29.0
rmg_rxn_302,reverse,-924018.0,-923988.0,30.0
rmg_rxn_303,forward,-1315841.0,-1315840.0,1.0
rmg_rxn_303,reverse,-1315867.0,-1315840.0,27.0
rmg_rxn_304,forward,-1969480.0,-1969480.0,0.0
rmg_rxn_304,reverse,-1969521.0,-1969480.0,41.0
rmg_rxn_306,forward,-1556900.0,-1556890.0,10.0
rmg_rxn_306,reverse,-1556941.0,-1556890.0,51.0
rmg_rxn_307,forward,-856744.0,-856714.0,30.0
rmg_rxn_307,reverse,-856768.0,-856714.0,54.0
rmg_rxn_31,forward,-823282.0,-823244.0,38.0
rmg_rxn_31,reverse,-823330.0,-823244.0,86.0
rmg_rxn_311,forward,-1224632.0,-1224600.0,32.0
rmg_rxn_311,reverse,-1224629.0,-1224600.0,29.0
rmg_rxn_312,forward,-1057185.0,-1057150.0,35.0
rmg_rxn_312,reverse,-1057186.0,-1057150.0,36.0
rmg_rxn_313,forward,-1315841.0,-1315810.0,31.0
rmg_rxn_313,reverse,-1315843.0,-1315810.0,33.0
rmg_rxn_314,forward,-1224632.0,-1224610.0,22.0
rmg_rxn_314,reverse,-1224643.0,-1224610.0,33.0
rmg_rxn_316,forward,-1315841.0,-1315820.0,21.0
rmg_rxn_316,reverse,-1315865.0,-1315820.0,45.0
rmg_rxn_317,forward,-1224632.0,-1224630.0,2.0
rmg_rxn_317,reverse,-1224663.0,-1224630.0,33.0
rmg_rxn_319,forward,-1006575.0,-1006560.0,15.0
rmg_rxn_319,reverse,-1006613.0,-1006560.0,53.0
rmg_rxn_32,forward,-1668857.0,-1668860.0,-3.0
rmg_rxn_32,reverse,-1668917.0,-1668860.0,57.0
rmg_rxn_320,forward,-1067588.0,-1067570.0,18.0
rmg_rxn_320,reverse,-1067623.0,-1067570.0,53.0
rmg_rxn_321,forward,-1123925.0,-1123880.0,45.0
rmg_rxn_321,reverse,-1123945.0,-1123880.0,65.0
rmg_rxn_323,forward,-1263556.0,-1263540.0,16.0
rmg_rxn_323,reverse,-1263612.0,-1263540.0,72.0
rmg_rxn_324,forward,-1263495.0,-1263490.0,5.0
rmg_rxn_324,reverse,-1263612.0,-1263490.0,122.0
rmg_rxn_326,forward,-1130314.0,-1130280.0,34.0
rmg_rxn_326,reverse,-1130327.0,-1130280.0,47.0
rmg_rxn_33,forward,-962852.0,-962790.0,62.0
rmg_rxn_33,reverse,-962997.0,-962790.0,207.0
rmg_rxn_335,forward,-1430910.0,-1430890.0,20.0
rmg_rxn_335,reverse,-1430942.0,-1430890.0,52.0
rmg_rxn_336,forward,-1263467.0,-1263440.0,27.0
rmg_rxn_336,reverse,-1263495.0,-1263440.0,55.0
rmg_rxn_337,forward,-1522124.0,-1522090.0,34.0
rmg_rxn_337,reverse,-1522151.0,-1522090.0,61.0
rmg_rxn_338,forward,-1430924.0,-1430890.0,34.0
rmg_rxn_338,reverse,-1430942.0,-1430890.0,52.0
rmg_rxn_339,forward,-1430912.0,-1430880.0,32.0
rmg_rxn_339,reverse,-1430942.0,-1430880.0,62.0
rmg_rxn_34,forward,-1875157.0,-1875100.0,57.0
rmg_rxn_34,reverse,-1875147.0,-1875100.0,47.0
rmg_rxn_340,forward,-1522151.0,-1522100.0,51.0
rmg_rxn_340,reverse,-1522146.0,-1522100.0,46.0
rmg_rxn_341,forward,-1430942.0,-1430900.0,42.0
rmg_rxn_341,reverse,-1430944.0,-1430900.0,44.0
rmg_rxn_342,forward,-1224632.0,-1224630.0,2.0
rmg_rxn_342,reverse,-1224661.0,-1224630.0,31.0
rmg_rxn_343,forward,-723299.0,-723285.0,14.0
rmg_rxn_343,reverse,-723357.0,-723285.0,72.0
rmg_rxn_344,forward,-723299.0,-723276.0,23.0
rmg_rxn_344,reverse,-723342.0,-723276.0,66.0
rmg_rxn_345,forward,-1023914.0,-1023900.0,14.0
rmg_rxn_345,reverse,-1023967.0,-1023900.0,67.0
rmg_rxn_346,forward,-1023914.0,-1023910.0,4.0
rmg_rxn_346,reverse,-1023985.0,-1023910.0,75.0
rmg_rxn_347,forward,-1023914.0,-1023910.0,4.0
rmg_rxn_347,reverse,-1023987.0,-1023910.0,77.0
rmg_rxn_348,forward,-1023914.0,-1023890.0,24.0
rmg_rxn_348,reverse,-1023955.0,-1023890.0,65.0
rmg_rxn_349,forward,-1023914.0,-1023890.0,24.0
rmg_rxn_349,reverse,-1023953.0,-1023890.0,63.0
rmg_rxn_35,forward,-829684.0,-829642.0,42.0
rmg_rxn_35,reverse,-829699.0,-829642.0,57.0
rmg_rxn_350,forward,-1115123.0,-1115100.0,23.0
rmg_rxn_350,reverse,-1115167.0,-1115100.0,67.0
rmg_rxn_351,forward,-1115123.0,-1115100.0,23.0
rmg_rxn_351,reverse,-1115189.0,-1115100.0,89.0
rmg_rxn_352,forward,-1115123.0,-1115120.0,3.0
rmg_rxn_352,reverse,-1115191.0,-1115120.0,71.0
rmg_rxn_354,forward,-1768845.0,-1768760.0,85.0
rmg_rxn_354,reverse,-1768762.0,-1768760.0,2.0
rmg_rxn_355,forward,-1768762.0,-1768740.0,22.0
rmg_rxn_355,reverse,-1768815.0,-1768740.0,75.0
rmg_rxn_356,forward,-856467.0,-856466.0,1.0
rmg_rxn_356,reverse,-856655.0,-856466.0,189.0
rmg_rxn_357,forward,-856467.0,-856443.0,24.0
rmg_rxn_357,reverse,-856510.0,-856443.0,67.0
rmg_rxn_36,forward,-1116601.0,,
rmg_rxn_36,reverse,-805830.0,,
rmg_rxn_362,forward,-660560.0,-660570.0,-10.0
rmg_rxn_362,reverse,-660666.0,-660570.0,96.0
rmg_rxn_364,forward,-307594.0,,
rmg_rxn_364,reverse,-618434.0,,
rmg_rxn_365,forward,-1562472.0,-1562480.0,-8.0
rmg_rxn_365,reverse,-1562575.0,-1562480.0,95.0
rmg_rxn_367,forward,-856528.0,-856529.0,-1.0
rmg_rxn_367,reverse,-856655.0,-856529.0,126.0
rmg_rxn_368,forward,-817633.0,-817630.0,3.0
rmg_rxn_368,reverse,-817675.0,-817630.0,45.0
rmg_rxn_37,forward,-1097781.0,-1097750.0,31.0
rmg_rxn_37,reverse,-1097822.0,-1097750.0,72.0
rmg_rxn_370,forward,-415711.0,,
rmg_rxn_370,reverse,-820888.0,,
rmg_rxn_371,forward,-415711.0,,
rmg_rxn_371,reverse,-820873.0,,
rmg_rxn_372,forward,-716327.0,,
rmg_rxn_372,reverse,-1121500.0,,
rmg_rxn_374,forward,-716327.0,,
rmg_rxn_374,reverse,-1121520.0,,
rmg_rxn_375,forward,-716327.0,,
